species	total.indi
H_0252_Hymenoptera_Lasius	3
H_0253_Diptera_Syrphidae	8
H_0254_Diptera_Cecidomyiidae	2
H_0255_Hymenoptera_Formica	13
H_0256_Diptera_Minettia	2
H_0257_Diptera_Diptera	19
H_0258_Hemiptera_Aphididae	21
H_0259_Diptera_Cecidomyiidae	12
H_0261_Collembola_Tomocerus	2
H_0262_Hemiptera_Hemiptera	3
H_0264_Diptera_Aplomya	2
H_0265_Coleoptera_Scymnus	1
H_0266_Diptera_Cecidomyiidae	1
H_0267_Coleoptera_Curculionidae	1
H_0268_Hemiptera_Aphis	80
H_0269_Hemiptera_Bemisia	5
H_0270_Diptera_Chrysotus	3
H_0271_Diptera_Diptera	2
H_0272_Diptera_Tipulidae	1
H_0273_Hemiptera_Hemiptera	7
H_0274_Diptera_Diptera	1
H_0275_Diptera_Cecidomyiidae	7
H_0276_Diptera_Diptera	11
H_0277_Diptera_Bradysia	2
H_0278_Diptera_Sciara	9
H_0279_Hymenoptera_Aphidius	13
H_0280_Hemiptera_Delphacidae	9
H_0281_Hymenoptera_Hymenoptera	1
H_0282_Diptera_Sciaridae	3
H_0283_Diptera_Diptera	5
H_0285_Diptera_Cecidomyiidae	2
H_0286_Lithobiomorpha_Lithobiidae	1
H_0287_Diptera_Mycetophilidae	8
H_0288_Diptera_Cecidomyiidae	2
H_0289_Diptera_Diptera	17
H_0290_Collembola_Homidia	2
H_0291_Diptera_Cecidomyiidae	3
H_0292_Diptera_Ephydridae	3
H_0293_Diptera_Ensina.sonchi	2
H_0294_Diptera_Cecidomyiidae	4
H_0295_Diptera_Diptera	21
H_0296_Diptera_Sciaridae	1
H_0298_Diptera_Megaselia	4
H_0299_Diptera_Bradysia	3
H_0301_Diptera_Diptera	1
H_0302_Lepidoptera_Mythimna	2
H_0305_Hemiptera_Riptortus.pedestris	1
H_0306_Diptera_Diptera	4
H_0307_Diptera_Cecidomyiidae	45
H_0308_Diptera_Diptera	1
H_0309_Hemiptera_Geisha.distinctissima	4
H_0310_Diptera_Megaselia	2
H_0312_Orthoptera_Acrididae	1
H_0313_Diptera_Diptera	1
H_0314_Hemiptera_Delphacidae	1
H_0315_Hymenoptera_Formicidae	8
H_0316_Hemiptera_Delphacidae	18
H_0317_Hemiptera_Cicadellidae	7
H_0318_Coleoptera_Coleoptera	5
H_0320_Hymenoptera_Ichneumonidae	1
H_0321_Diptera_Bradysia	8
H_0322_Diptera_Dolichopodidae	1
H_0323_Diptera_Dohrniphora	2
H_0324_Diptera_Drosophilidae	2
H_0325_Hemiptera_Hemiptera	1
H_0326_Diptera_Drosophilidae	1
H_0327_Diptera_Sciaridae	2
H_0328_Hymenoptera_Ichneumonidae	1
H_0329_Diptera_Diptera	1
H_0331_Diptera_Mycetophilidae	1
H_0332_Lepidoptera_Lepidoptera	6
H_0333_Diptera_Diptera	3
H_0334_Diptera_Diptera	4
H_0335_Diptera_Sciaridae	1
H_0336_Diptera_Bradysia	3
H_0337_Orthoptera_Loxoblemmus.equestris	3
H_0338_Diptera_Diptera	1
H_0339_Diptera_Diptera	1
H_0340_Diptera_Cecidomyiidae	2
H_0341_Lepidoptera_Noctuidae	2
H_0343_Diptera_Empididae	1
H_0344_Diptera_Dolichopodidae	3
H_0345_Coleoptera_Carabidae	1
H_0346_Hemiptera_Miridae	2
H_0348_Diptera_Drosophilidae	6
H_0349_Diptera_Mycetophilidae	1
H_0350_Hemiptera_Aphididae	2
H_0351_Diptera_Cecidomyiidae	1
H_0352_Coleoptera_Atomaria	1
H_0353_Diptera_Cecidomyiidae	2
H_0355_Diptera_Diptera	1
H_0356_Hemiptera_Cicadellidae	2
H_0357_Hemiptera_Hemiptera	6
H_0358_Hymenoptera_Aphaenogaster	1
H_0359_Orthoptera_Gonista	5
H_0360_Diptera_Cecidomyiidae	21
H_0361_Hymenoptera_Braconidae	1
H_0362_Hemiptera_Cicadellidae	4
H_0363_Diptera_Diptera	1
H_0364_Diptera_Diptera	4
H_0365_Coleoptera_Coleoptera	5
H_0366_Diptera_Cecidomyiidae	1
H_0367_Diptera_Diptera	3
H_0368_Diptera_Megaselia	7
H_0369_Psocoptera_Peripsocus	1
H_0370_Hymenoptera_Hymenoptera	15
H_0371_Hymenoptera_Tenthredinidae	3
H_0372_Diptera_Diptera	7
H_0373_Diptera_Diptera	1
H_0374_Lepidoptera_Lepidoptera	1
H_0375_Diptera_Phoridae	4
H_0376_Diptera_Diptera	1
H_0377_Diptera_Sciaridae	21
H_0378_Hemiptera_Delphacidae	1
H_0379_Hemiptera_Aphididae	5
H_0381_Diptera_Diptera	3
H_0382_Diptera_Diptera	1
H_0383_Hymenoptera_Hymenoptera	1
H_0384_Diptera_Diptera	2
H_0386_Diptera_Cecidomyiidae	7
H_0387_Diptera_Chironomus	1
H_0388_Hymenoptera_Formicidae	2
H_0389_Diptera_Mayetiola.destructor	1
H_0391_Lepidoptera_Lepidoptera	1
H_0392_Hemiptera_Cicadellidae	5
H_0393_Diptera_Diptera	1
H_0394_Hymenoptera_Eulophidae	2
H_0395_Hemiptera_Cicadellidae	1
H_0396_Coleoptera_Staphylinidae	1
H_0397_Neuroptera_Neuroptera	5
H_0398_Hemiptera_Aphididae	6
H_0399_Coleoptera_Coleoptera	1
H_0400_Hemiptera_Aphididae	6
H_0401_Lepidoptera_Crambidae	3
H_0403_Diptera_Cecidomyiidae	1
H_0404_Diptera_Dasineura	5
H_0405_Hemiptera_Bemisia.tabaci	2
H_0406_Diptera_Diptera	17
H_0407_Diptera_Phoridae	1
H_0408_Diptera_Diptera	1
H_0409_Hemiptera_Melanaphis	2
H_0410_Diptera_Cecidomyiidae	1
H_0411_Diptera_Sepsis	1
H_0412_Hymenoptera_Formicidae	3
H_0413_Hymenoptera_Formica	13
H_0415_Hymenoptera_Hymenoptera	6
H_0416_Hymenoptera_Halictidae	3
H_0417_Coleoptera_Endomychidae	2
H_0418_Hymenoptera_Nylanderia	2
H_0420_Diptera_Culicidae	2
H_0421_Diptera_Bradysia	5
H_0422_Diptera_Sciaridae	1
H_0424_Hymenoptera_Ceraphronidae	1
H_0425_Diptera_Cecidomyiidae	8
H_0426_Diptera_Cecidomyiidae	10
H_0427_Orthoptera_Tettigoniidae	2
H_0428_Diptera_Cecidomyiidae	2
H_0430_Diptera_Diptera	2
H_0431_Hemiptera_Aphididae	17
H_0432_Diptera_Cecidomyiidae	1
H_0433_Hemiptera_Cicadellidae	3
H_0434_Lepidoptera_Geometridae	10
H_0435_Diptera_Cecidomyiidae	1
H_0438_Diptera_Dicranomyia	1
H_0439_Diptera_Diptera	1
H_0440_Coleoptera_Coleoptera	1
H_0441_Hemiptera_Hemiptera	1
H_0442_Hemiptera_Aleyrodidae	5
H_0443_Diptera_Pseudolycoriella	8
H_0444_Hemiptera_Cicadellidae	1
H_0445_Lepidoptera_Noctuidae	1
H_0446_Diptera_Sciaridae	5
H_0448_Diptera_Boletina	5
H_0449_Diptera_Cecidomyiidae	1
H_0450_Diptera_Cecidomyiidae	1
H_0451_Diptera_Anopheles	2
H_0452_Diptera_Cecidomyiidae	1
H_0453_Diptera_Aedes.albopictus	3
H_0455_Hemiptera_Rhopalidae	4
H_0456_Hemiptera_Eysarcoris	1
H_0457_Hemiptera_Empoascanara	24
H_0458_Diptera_Diptera	1
H_0459_Hymenoptera_Eulophidae	1
H_0460_Hemiptera_Hemiptera	2
H_0461_Diptera_Diptera	2
H_0462_Hymenoptera_Formicidae	9
H_0464_Diptera_Cecidomyiidae	7
H_0465_Diptera_Forcipomyia	3
H_0466_Hemiptera_Aphididae	1
H_0467_Hymenoptera_Formicidae	1
H_0468_Hemiptera_Aphididae	2
H_0469_Lepidoptera_Lepidoptera	3
H_0470_Diptera_Cecidomyiidae	1
H_0471_Lepidoptera_Lepidoptera	1
H_0472_Diptera_Diptera	1
H_0473_Hemiptera_Cicadellidae	6
H_0474_Coleoptera_Coleoptera	5
H_0475_Diptera_Cecidomyiidae	1
H_0476_Diptera_Diptera	10
H_0477_Diptera_Cecidomyiidae	1
H_0478_Diptera_Diptera	1
H_0479_Hemiptera_Hyperomyzus.carduellinus	5
H_0480_Diptera_Diptera	24
H_0481_Diptera_Drosophilidae	1
H_0483_Coleoptera_Tychius	1
H_0484_Hymenoptera_Ceraphronidae	1
H_0485_Diptera_Phoridae	1
H_0486_Hemiptera_Cicadellidae	1
H_0487_Collembola_Homidia	10
H_0488_Odonata_Ischnura	1
H_0489_Coleoptera_Sericoderus	2
H_0490_Hymenoptera_Hymenoptera	1
H_0491_Hemiptera_Peirates	1
H_0492_Diptera_Diptera	2
H_0493_Diptera_Cecidomyiidae	1
H_0494_Ephemeroptera_Baetis	1
H_0495_Coleoptera_Staphylinidae	1
H_0497_Lepidoptera_Ostrinia	2
H_0498_Orthoptera_Trigonidium	1
H_0499_Hymenoptera_Formicidae	3
H_0500_Diptera_Cecidomyiidae	1
H_0501_Diptera_Diptera	1
H_0502_Hemiptera_Bemisia	3
H_0503_Hemiptera_Aphididae	2
H_0504_Hemiptera_Ossoides.lineatus	2
H_0505_Lepidoptera_Crambidae	2
H_0506_Diptera_Diptera	1
H_0507_Lepidoptera_Crambidae	3
H_0508_Diptera_Cecidomyiidae	4
H_0509_Diptera_Diptera	3
H_0510_Diptera_Chrysotus	1
H_0511_Hemiptera_Dictyopharidae	3
H_0512_Diptera_Sciaridae	3
H_0513_Diptera_Cecidomyiidae	6
H_0514_Coleoptera_Coleoptera	3
H_0515_Diptera_Culicoides	2
H_0516_Hemiptera_Greenidea	1
H_0517_Odonata_Pantala.flavescens	1
H_0518_Diptera_Diptera	2
H_0519_Diptera_Diptera	2
H_0520_Diptera_Cystiphora	2
H_0521_Diptera_Cecidomyiidae	1
H_0522_Lepidoptera_Pelopidas.mathias	8
H_0524_Diptera_Diptera	1
H_0525_Lepidoptera_Lepidoptera	1
H_0526_Diptera_Bradysia	1
H_0527_Diptera_Diptera	3
H_0528_Diptera_Tipulidae	2
H_0529_Diptera_Cecidomyiidae	2
H_0530_Diptera_Diptera	1
H_0531_Hemiptera_Hemiptera	1
H_0532_Diptera_Sciaridae	1
H_0533_Hymenoptera_Formica	3
H_0534_Diptera_Cecidomyiidae	2
H_0535_Diptera_Diptera	1
H_0536_Lepidoptera_Lepidoptera	1
H_0537_Hymenoptera_Xyela	1
H_0538_Diptera_Cecidomyiidae	2
H_0539_Coleoptera_Staphylinidae	1
H_0540_Diptera_Pseudolycoriella	3
H_0541_Diptera_Cecidomyiidae	2
H_0543_Hymenoptera_Braconidae	1
H_0544_Thysanoptera_Thripidae	1
H_0545_Hemiptera_Bothrogonia	1
H_0546_Diptera_Cecidomyiidae	1
H_0547_Diptera_Diptera	1
H_0548_Diptera_Diptera	1
H_0549_Diptera_Mycetophilidae	2
H_0550_Diptera_Cricotopus	8
H_0551_Diptera_Empididae	1
H_0552_Hemiptera_Saldula	1
H_0553_Diptera_Diptera	1
H_0554_Hemiptera_Hemiptera	5
H_0555_Hemiptera_Hemiptera	5
H_0556_Hymenoptera_Lasius	6
H_0557_Neuroptera_Neuroptera	3
H_0558_Diptera_Dolichopus.bigeniculatus	2
H_0559_Diptera_Diptera	1
H_0560_Lepidoptera_Lepidoptera	1
H_0562_Hymenoptera_Argidae	1
H_0563_Hemiptera_Aphididae	2
H_0564_Hemiptera_Stenotus	1
H_0565_Diptera_Cecidomyiidae	2
H_0566_Diptera_Megaselia	8
H_0567_Diptera_Platypalpus	1
H_0568_Hymenoptera_Braconidae	1
H_0569_Diptera_Cecidomyiidae	1
H_0570_Diptera_Paratanytarsus	2
H_0571_Lepidoptera_Noctuidae	6
H_0573_Diptera_Drosophilidae	1
H_0575_Hemiptera_Hemiptera	1
H_0576_Coleoptera_Chrysomelidae	1
H_0578_Hymenoptera_Lasius	1
H_0580_Diptera_Diptera	1
H_0581_Diptera_Cecidomyiidae	1
H_0583_Diptera_Cricotopus	1
H_0584_Hemiptera_Anoecia	3
H_0585_Lepidoptera_Lepidoptera	2
H_0587_Diptera_Diptera	3
H_0588_Hemiptera_Hemiptera	2
H_0589_Hemiptera_Aphididae	3
H_0590_Hymenoptera_Braconidae	1
H_0591_Diptera_Lestodiplosis	2
H_0593_Hemiptera_Apolygus	1
H_0594_Diptera_Cecidomyiidae	1
H_0595_Diptera_Mycetophilidae	1
H_0596_Diptera_Diptera	1
H_0597_Diptera_Diptera	1
H_0598_Diptera_Cecidomyiidae	1
H_0599_Diptera_Chironomus	16
H_0600_Hymenoptera_Ichneumonidae	1
H_0601_Hymenoptera_Hymenoptera	1
H_0602_Diptera_Mycetophilidae	1
H_0603_Diptera_Chironomidae	5
H_0604_Lepidoptera_Lepidoptera	1
H_0607_Diptera_Diptera	1
H_0608_Neuroptera_Neuroptera	2
H_0609_Coleoptera_Coleoptera	3
H_0610_Hymenoptera_Hymenoptera	1
H_0611_Hymenoptera_Halictidae	1
H_0612_Hymenoptera_Formica	5
H_0613_Isopoda_Armadillidium.vulgare	1
H_0614_Hemiptera_Cymus	7
H_0615_Diptera_Aprionus	2
H_0617_Neuroptera_Mantispidae	3
H_0618_Diptera_Diptera	1
H_0619_Hymenoptera_Hymenoptera	1
H_0620_Lepidoptera_Lepidoptera	9
H_0621_Collembola_Collembola	1
H_0622_Diptera_Diptera	1
H_0624_Diptera_Sciaridae	3
H_0625_Coleoptera_Atomaria	1
H_0626_Diptera_Diptera	1
H_0628_Orthoptera_Ruspolia	1
H_0629_Diptera_Cecidomyiidae	1
H_0630_Hymenoptera_Hymenoptera	1
H_0631_Diptera_Sciaridae	1
H_0632_Diptera_Cecidomyiidae	2
H_0634_Coleoptera_Coleoptera	1
H_0635_Coleoptera_Coleoptera	2
H_0636_Hymenoptera_Ceraphron	4
H_0637_Diptera_Phoridae	3
H_0639_Hymenoptera_Hymenoptera	1
H_0643_Diptera_Ephydridae	2
H_0644_Hemiptera_Aleyrodidae	1
H_0645_Diptera_Diptera	2
H_0646_Diptera_Diptera	3
H_0647_Diptera_Diptera	1
H_0648_Lepidoptera_Lepidoptera	1
H_0649_Diptera_Neoplatyura	1
H_0650_Diptera_Cecidomyiidae	1
H_0651_Hymenoptera_Formica	7
H_0652_Diptera_Cecidomyiidae	1
H_0654_Diptera_Cecidomyiidae	2
H_0655_Diptera_Cecidomyiidae	5
H_0656_Coleoptera_Coleoptera	2
H_0657_Diptera_Megaselia	4
H_0658_Diptera_Cecidomyiidae	2
H_0659_Diptera_Diptera	1
H_0660_Diptera_Mycetophilidae	1
H_0661_Collembola_Homidia	2
H_0662_Diptera_Diptera	3
H_0663_Lepidoptera_Pyralidae	3
H_0664_Diptera_Cecidomyiidae	1
H_0665_Diptera_Cecidomyiidae	1
H_0666_Diptera_Cecidomyiidae	10
H_0667_Diptera_Sciaridae	1
H_0668_Diptera_Chironomidae	5
H_0669_Hemiptera_Cicadellidae	1
H_0671_Diptera_Cecidomyiidae	3
H_0672_Diptera_Medetera	1
H_0673_Diptera_Cecidomyiidae	1
H_0674_Diptera_Dolichosciara	3
H_0675_Orthoptera_Tettigoniidae	1
H_0676_Orthoptera_Gryllidae	2
H_0677_Diptera_Diptera	3
H_0678_Hemiptera_Anoecia	2
H_0679_Diptera_Chaetosciara	4
H_0680_Diptera_Cecidomyiidae	1
H_0681_Diptera_Diptera	2
H_0682_Diptera_Diptera	1
H_0683_Hymenoptera_Formica	2
H_0684_Coleoptera_Coleoptera	2
H_0685_Hymenoptera_Ceraphronidae	2
H_0686_Hemiptera_Cicadellidae	1
H_0687_Lepidoptera_Lepidoptera	1
H_0688_Orthoptera_Loxoblemmus.equestris	2
H_0690_Hemiptera_Aphididae	1
H_0692_Diptera_Cecidomyiidae	1
H_0693_Diptera_Drosophilidae	1
H_0694_Diptera_Cecidomyiidae	2
H_0695_Lepidoptera_Lepidoptera	3
H_0697_Hemiptera_Anoecia	4
H_0698_Diptera_Lestodiplosis	1
H_0700_Diptera_Diptera	1
H_0701_Lepidoptera_Lepidoptera	1
H_0704_Hemiptera_Cacopsylla	1
H_0705_Diptera_Cecidomyiidae	1
H_0707_Diptera_Diptera	4
H_0708_Orthoptera_Trigonidium	1
H_0709_Coleoptera_Coleoptera	1
H_0710_Coleoptera_Coleoptera	1
H_0711_Coleoptera_Carabidae	1
H_0712_Diptera_Lestodiplosis	3
H_0713_Strepsiptera_Halictophagidae	1
H_0714_Coleoptera_Coleoptera	1
H_0715_Hymenoptera_Eulophidae	1
H_0716_Coleoptera_Coleoptera	2
H_0717_Hemiptera_Hemiptera	3
H_0718_Hymenoptera_Trichogramma	1
H_0719_Diptera_Tipulidae	1
H_0720_Hemiptera_Sogatella.furcifera	1
H_0721_Hemiptera_Aphididae	3
H_0722_Hymenoptera_Encarsia	1
H_0723_Orthoptera_Gryllidae	1
H_0724_Hemiptera_Cicadellidae	1
H_0725_Hymenoptera_Ceratobaeus	1
H_0726_Diptera_Diptera	6
H_0727_Hymenoptera_Athalia	1
H_0728_Lepidoptera_Lepidoptera	1
H_0729_Lepidoptera_Noctuidae	9
H_0730_Diptera_Cecidomyiidae	1
H_0731_Diptera_Mycetophilidae	4
H_0732_Coleoptera_Coleoptera	2
H_0733_Coleoptera_Coleoptera	1
H_0734_Diptera_Sciaridae	1
H_0736_Diptera_Diptera	1
H_0737_Coleoptera_Coleoptera	1
H_0739_Hymenoptera_Eurytomidae	1
H_0741_Diptera_Sciaridae	1
H_0742_Diptera_Cecidomyiidae	1
H_0743_Diptera_Syrphidae	1
H_0744_Diptera_Mycetophilidae	1
H_0745_Diptera_Cecidomyiidae	1
H_0746_Hemiptera_Macrosteles	2
H_0747_Hymenoptera_Formica	4
H_0748_Hemiptera_Amphiareus	1
H_0749_Lepidoptera_Geometridae	1
H_0750_Coleoptera_Coleoptera	1
H_0751_Hemiptera_Cicadellidae	2
H_0752_Diptera_Diptera	1
H_0753_Diptera_Sepedon	1
H_0754_Lepidoptera_Lepidoptera	1
H_0755_Hemiptera_Aphididae	1
H_0757_Coleoptera_Monotoma	2
H_0758_Diptera_Sciaridae	1
H_0759_Diptera_Mycetophilidae	1
H_0760_Hemiptera_Cicadellidae	2
H_0762_Diptera_Sciaridae	1
H_0763_Hymenoptera_Formica.cunicularia	5
H_0764_Hemiptera_Empoasca	1
H_0766_Coleoptera_Coleoptera	1
H_0767_Hemiptera_Cicadellidae	2
H_0770_Lepidoptera_Lepidoptera	1
H_0772_Diptera_Sciaridae	1
H_0773_Diptera_Cecidomyiidae	1
H_0774_Orthoptera_Oxya	1
H_0775_Hymenoptera_Hymenoptera	1
H_0777_Lepidoptera_Noctuidae	3
H_0778_Hemiptera_Miridae	1
H_0779_Diptera_Sciaridae	2
H_0781_Collembola_Collembola	2
