Argiope_bruennichi	Leucauge_blanda	Tetragnatha_caudicula	Xysticus_sp.	Oxyopes_sertatus	Neoscona_scylloides	Cyclosa_atrata	Nephila_clavata	Tetragnatha_praedonia	Clubiona_sp.	Ebrechtella_tricuspidata	Neoscona_mellotteei	Agelena_silvatica	Neriene_radiata	Parasteatoda_japonica	Thomisus_labefactus	Araneidae_sp.1	Mendoza_elongata	Linyphiidae_sp.5	Salticidae_sp.2	Araneus_abscissus
H_0090_Diptera_Coboldia	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0091_Hemiptera_Therioaphis.trifolii	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0102_Diptera_Homoneura	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0105_Diptera_Sciaridae	12	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0106_Hemiptera_Rhopalosiphum.padi	5	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0108_Diptera_Sarcophagidae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0118_Orthoptera_Tettigoniidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0125_Hemiptera_Cicadellidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0132_Hemiptera_Cicadellidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0138_Hymenoptera_Ichneumonidae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0140_Orthoptera_Polionemobius	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0141_Diptera_Cecidomyiidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0150_Diptera_Gymnopternus	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0155_Hemiptera_Hemiptera	3	0	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
H_0157_Hemiptera_Aphrophora	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0160_Orthoptera_Atractomorpha	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0177_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0182_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0184_Diptera_Melanostoma	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
H_0186_Hemiptera_Aphis.spiraecola	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0195_Diptera_Tipulidae	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0199_Hemiptera_Cicadellidae	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0217_Hemiptera_Creontiades	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0226_Hemiptera_Aphididae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0227_Hemiptera_Cicadellidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0229_Orthoptera_Tettigoniidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
H_0234_Diptera_Diptera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0235_Diptera_Diptera	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
H_0253_Diptera_Syrphidae	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0255_Hymenoptera_Formica	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
H_0257_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0262_Hemiptera_Hemiptera	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0266_Diptera_Cecidomyiidae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0267_Coleoptera_Curculionidae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0268_Hemiptera_Aphis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0270_Diptera_Chrysotus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0277_Diptera_Bradysia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0291_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0293_Diptera_Ensina.sonchi	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0295_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0298_Diptera_Megaselia	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0305_Hemiptera_Riptortus.pedestris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0307_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
H_0316_Hemiptera_Delphacidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0317_Hemiptera_Cicadellidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0321_Diptera_Bradysia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0332_Lepidoptera_Lepidoptera	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0353_Diptera_Cecidomyiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0355_Diptera_Diptera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0357_Hemiptera_Hemiptera	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0375_Diptera_Phoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0379_Hemiptera_Aphididae	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0388_Hymenoptera_Formicidae	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0389_Diptera_Mayetiola.destructor	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0392_Hemiptera_Cicadellidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0396_Coleoptera_Staphylinidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0413_Hymenoptera_Formica	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
H_0417_Coleoptera_Endomychidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
H_0425_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0431_Hemiptera_Aphididae	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0433_Hemiptera_Cicadellidae	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0443_Diptera_Pseudolycoriella	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0450_Diptera_Cecidomyiidae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0455_Hemiptera_Rhopalidae	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0457_Hemiptera_Empoascanara	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0458_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0461_Diptera_Diptera	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0464_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0466_Hemiptera_Aphididae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0472_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0481_Diptera_Drosophilidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0483_Coleoptera_Tychius	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0493_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0494_Ephemeroptera_Baetis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0509_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0510_Diptera_Chrysotus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0530_Diptera_Diptera	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0532_Diptera_Sciaridae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0544_Thysanoptera_Thripidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0555_Hemiptera_Hemiptera	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0566_Diptera_Megaselia	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0567_Diptera_Platypalpus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0568_Hymenoptera_Braconidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0570_Diptera_Paratanytarsus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0573_Diptera_Drosophilidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0593_Hemiptera_Apolygus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0599_Diptera_Chironomus	6	0	0	3	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
H_0603_Diptera_Chironomidae	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0607_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0612_Hymenoptera_Formica	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
H_0614_Hemiptera_Cymus	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0646_Diptera_Diptera	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0657_Diptera_Megaselia	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0663_Lepidoptera_Pyralidae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0666_Diptera_Cecidomyiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0667_Diptera_Sciaridae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0677_Diptera_Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0679_Diptera_Chaetosciara	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0697_Hemiptera_Anoecia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0707_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0711_Coleoptera_Carabidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0712_Diptera_Lestodiplosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0721_Hemiptera_Aphididae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0723_Orthoptera_Gryllidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0724_Hemiptera_Cicadellidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0731_Diptera_Mycetophilidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0774_Orthoptera_Oxya	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0775_Hymenoptera_Hymenoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0783_Hemiptera_Tuberculatus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0794_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0799_Hemiptera_Aphididae	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0874_Hemiptera_Hemiptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0875_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0894_Orthoptera_Acrida	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0895_Lepidoptera_Lepidoptera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0896_Hymenoptera_Formicidae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0935_Orthoptera_Acrididae	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0936_Hemiptera_Corythucha.marmorata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0956_Diptera_Diptera	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0958_Collembola_Hypogastruridae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0960_Hemiptera_Aphididae	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0986_Diptera_Chironomidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1015_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1016_Hemiptera_Kolla	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1026_Diptera_Sciaridae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1028_Hemiptera_Hemiptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1054_Diptera_Phoridae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1081_Coleoptera_Chrysomelidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1102_Lepidoptera_Lycaenidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1151_Hemiptera_Hemiptera	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1178_Diptera_Diptera	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_1194_Orthoptera_Conocephalus.maculatus	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
H_1196_Hemiptera_Acyrthosiphon.pisum	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
