Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
H_0081_Hymenoptera_Formicidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0087_Diptera_Diptera	38	3	33	14	1	0	0	2	16	1	0	1	1	0	0	0	1
H_0092_Diptera_Rhopalomyia	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0103_Orthoptera_Trigonidium	5	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0
H_0105_Diptera_Sciaridae	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0106_Hemiptera_Rhopalosiphum.padi	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0113_Diptera_Limoniidae	4	0	12	6	0	1	0	0	3	0	0	1	0	0	0	0	0
H_0118_Orthoptera_Tettigoniidae	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
H_0123_Lepidoptera_Lepidoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0125_Hemiptera_Cicadellidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0128_Hemiptera_Cicadellidae	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0129_Diptera_Cecidomyiidae	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0130_Diptera_Diptera	1	1	1	5	0	0	0	1	2	0	0	0	0	0	0	0	0
H_0132_Hemiptera_Cicadellidae	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
H_0136_Lepidoptera_Lepidoptera	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0140_Orthoptera_Polionemobius	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0143_Diptera_Diptera	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0147_Diptera_Cecidomyiidae	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0150_Diptera_Gymnopternus	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0153_Diptera_Diptera	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0154_Diptera_Cecidomyiidae	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0170_Diptera_Exorista	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0171_Diptera_Diptera	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0173_Diptera_Drosophilidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0174_Diptera_Diptera	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0177_Diptera_Diptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0178_Diptera_Drosophila	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0179_Hemiptera_Pseudoregma.panicola	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0180_Hemiptera_Bemisia	1	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
H_0182_Diptera_Diptera	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0185_Diptera_Diptera	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0186_Hemiptera_Aphis.spiraecola	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0187_Diptera_Diptera	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
H_0193_Diptera_Pipunculidae	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0194_Diptera_Sciaridae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0195_Diptera_Tipulidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0196_Diptera_Cecidomyiidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0197_Diptera_Sciara	4	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0199_Hemiptera_Cicadellidae	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0203_Ephemeroptera_Cloeon	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0204_Diptera_Cecidomyiidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0205_Diptera_Diptera	9	0	0	5	0	0	0	0	2	0	0	0	0	0	1	0	0
H_0206_Collembola_Homidia	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0207_Coleoptera_Curculionidae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0209_Diptera_Drosophilidae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0210_Neuroptera_Chrysoperla	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0215_Hemiptera_Cicadellidae	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0223_Hemiptera_Cicadellidae	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0226_Hemiptera_Aphididae	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0227_Hemiptera_Cicadellidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0228_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0232_Coleoptera_Chrysomelidae	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0236_Diptera_Diptera	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
H_0239_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0245_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0247_Diptera_Cecidomyiidae	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0248_Diptera_Cecidomyiidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0253_Diptera_Syrphidae	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0254_Diptera_Cecidomyiidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0257_Diptera_Diptera	11	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0258_Hemiptera_Aphididae	17	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
H_0259_Diptera_Cecidomyiidae	3	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0264_Diptera_Aplomya	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0268_Hemiptera_Aphis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0273_Hemiptera_Hemiptera	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0276_Diptera_Diptera	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0279_Hymenoptera_Aphidius	3	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0280_Hemiptera_Delphacidae	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0286_Lithobiomorpha_Lithobiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0287_Diptera_Mycetophilidae	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0289_Diptera_Diptera	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0292_Diptera_Ephydridae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0294_Diptera_Cecidomyiidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0295_Diptera_Diptera	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0307_Diptera_Cecidomyiidae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0314_Hemiptera_Delphacidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0315_Hymenoptera_Formicidae	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0316_Hemiptera_Delphacidae	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0321_Diptera_Bradysia	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0323_Diptera_Dohrniphora	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0324_Diptera_Drosophilidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0332_Lepidoptera_Lepidoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0333_Diptera_Diptera	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0334_Diptera_Diptera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0338_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0344_Diptera_Dolichopodidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0345_Coleoptera_Carabidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0348_Diptera_Drosophilidae	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0349_Diptera_Mycetophilidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0350_Hemiptera_Aphididae	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0351_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0353_Diptera_Cecidomyiidae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0360_Diptera_Cecidomyiidae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0364_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0367_Diptera_Diptera	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0370_Hymenoptera_Hymenoptera	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0371_Hymenoptera_Tenthredinidae	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0372_Diptera_Diptera	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0
H_0373_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0384_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0386_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0387_Diptera_Chironomus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0393_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0394_Hymenoptera_Eulophidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0397_Neuroptera_Neuroptera	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0400_Hemiptera_Aphididae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0405_Hemiptera_Bemisia.tabaci	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0406_Diptera_Diptera	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0409_Hemiptera_Melanaphis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0415_Hymenoptera_Hymenoptera	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0416_Hymenoptera_Halictidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0417_Coleoptera_Endomychidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0420_Diptera_Culicidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0426_Diptera_Cecidomyiidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0430_Diptera_Diptera	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0431_Hemiptera_Aphididae	3	1	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0
H_0432_Diptera_Cecidomyiidae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0434_Lepidoptera_Geometridae	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0435_Diptera_Cecidomyiidae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0443_Diptera_Pseudolycoriella	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0451_Diptera_Anopheles	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0452_Diptera_Cecidomyiidae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0453_Diptera_Aedes.albopictus	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0457_Hemiptera_Empoascanara	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0461_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0462_Hymenoptera_Formicidae	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0465_Diptera_Forcipomyia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0468_Hemiptera_Aphididae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0473_Hemiptera_Cicadellidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0476_Diptera_Diptera	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0477_Diptera_Cecidomyiidae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0479_Hemiptera_Hyperomyzus.carduellinus	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0480_Diptera_Diptera	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0487_Collembola_Homidia	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0492_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0498_Orthoptera_Trigonidium	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0503_Hemiptera_Aphididae	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0507_Lepidoptera_Crambidae	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0508_Diptera_Cecidomyiidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0509_Diptera_Diptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0515_Diptera_Culicoides	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0521_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0526_Diptera_Bradysia	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0529_Diptera_Cecidomyiidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0549_Diptera_Mycetophilidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0550_Diptera_Cricotopus	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0554_Hemiptera_Hemiptera	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0559_Diptera_Diptera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0571_Lepidoptera_Noctuidae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0583_Diptera_Cricotopus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0585_Lepidoptera_Lepidoptera	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0588_Hemiptera_Hemiptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0589_Hemiptera_Aphididae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0596_Diptera_Diptera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0597_Diptera_Diptera	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0601_Hymenoptera_Hymenoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0602_Diptera_Mycetophilidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0604_Lepidoptera_Lepidoptera	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0608_Neuroptera_Neuroptera	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0617_Neuroptera_Mantispidae	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0619_Hymenoptera_Hymenoptera	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0620_Lepidoptera_Lepidoptera	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0626_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0632_Diptera_Cecidomyiidae	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0637_Diptera_Phoridae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0645_Diptera_Diptera	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0655_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0661_Collembola_Homidia	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0668_Diptera_Chironomidae	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0674_Diptera_Dolichosciara	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0678_Hemiptera_Anoecia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0690_Hemiptera_Aphididae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0700_Diptera_Diptera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0708_Orthoptera_Trigonidium	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0709_Coleoptera_Coleoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0717_Hemiptera_Hemiptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0720_Hemiptera_Sogatella.furcifera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0721_Hemiptera_Aphididae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0722_Hymenoptera_Encarsia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0729_Lepidoptera_Noctuidae	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
H_0743_Diptera_Syrphidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0744_Diptera_Mycetophilidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0753_Diptera_Sepedon	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0754_Lepidoptera_Lepidoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0755_Hemiptera_Aphididae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0758_Diptera_Sciaridae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0759_Diptera_Mycetophilidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0767_Hemiptera_Cicadellidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0781_Collembola_Collembola	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0782_Diptera_Diptera	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0793_Diptera_Chironomidae	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0799_Hemiptera_Aphididae	9	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0
H_0800_Diptera_Diptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0801_Lepidoptera_Lepidoptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0802_Hemiptera_Aphididae	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
H_0803_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0804_Hemiptera_Limassolla	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0805_Diptera_Sciaridae	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0825_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0826_Hemiptera_Aphididae	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0834_Diptera_Cecidomyiidae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0839_Diptera_Cecidomyiidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0840_Orthoptera_Polionemobius	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0852_Hemiptera_Aphididae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0853_Hemiptera_Chaitophorus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0855_Diptera_Diptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0856_Diptera_Cecidomyiidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0857_Diptera_Diptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0867_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0869_Diptera_Limoniidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0872_Diptera_Diptera	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0874_Hemiptera_Hemiptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0883_Diptera_Diptera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0885_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0886_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0889_Hymenoptera_Hymenoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0890_Lepidoptera_Lepidoptera	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0906_Coleoptera_Chrysolina.aurichalcea	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0909_Collembola_Homidia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0910_Lepidoptera_Lepidoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0911_Diptera_Diptera	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0925_Collembola_Homidia	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0934_Diptera_Cecidomyiidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0936_Hemiptera_Corythucha.marmorata	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0946_Diptera_Mycetophilidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0947_Diptera_Cecidomyiidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0950_Orthoptera_Trigonidium	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0951_Diptera_Dolichopodidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0960_Hemiptera_Aphididae	75	4	4	17	0	0	1	1	16	0	0	1	1	1	1	1	1
H_0971_Hymenoptera_Hymenoptera	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0975_Diptera_Diptera	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
