hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_caudicula	Argiope_amoena	Xysticus_sp.	Leucauge_blanda	Ebrechtella_tricuspidata	Tetragnatha_praedonia	Diaea_subdola	Pardosa_sp.	Oxytate_striatipes	Neriene_radiata
H_0109_Diptera_Scaptomyza	Drosophilidae	variable	1	2	0	0	0	0	0	0	0	0	0
H_0113_Diptera_Limoniidae	Limoniidae	variable	3	16	0	4	0	1	1	0	0	0	0
H_0118_Orthoptera_Tettigoniidae	Tettigoniidae	variable	0	0	0	1	0	0	0	0	0	0	0
H_0128_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	1	0	0	0	0	0	0	0	0	0
H_0130_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	1	0	0	0	0	0	0
H_0135_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0140_Orthoptera_Polionemobius	Gryllidae	variable	0	0	0	1	0	0	0	0	0	0	0
H_0159_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	0	0	1	0	0	0	0	0	0
H_0165_Diptera_Bradysia	Sciaridae	detritivorous	0	0	0	2	0	1	0	1	0	0	0
H_0179_Hemiptera_Pseudoregma.panicola	Hormaphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0180_Hemiptera_Bemisia	Aleyrodidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0187_Diptera_Diptera	Unidentified	unidentified	15	5	1	8	2	4	0	1	1	1	0
H_0193_Diptera_Pipunculidae	Pipunculidae	predatory/parasitic	0	1	0	0	0	0	0	0	0	0	0
H_0197_Diptera_Sciara	Sciaridae	detritivorous	1	0	1	0	0	0	0	1	0	0	0
H_0199_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	0	0	0	0	0	0	0	0
H_0201_Diptera_Trichocera	Trichoceridae	detritivorous	0	0	0	1	0	0	0	0	0	0	0
H_0205_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0209_Diptera_Drosophilidae	Drosophilidae	variable	2	0	0	0	0	0	0	0	0	0	0
H_0215_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	0	0	1	0	0	0	0	0
H_0216_Hymenoptera_Hymenoptera	Unidentified	unidentified	0	0	0	1	0	0	0	0	0	0	0
H_0223_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	1	0	0	0	0	0	0	0	1	0
H_0226_Hemiptera_Aphididae	Aphididae	herbivorous	5	0	0	2	0	0	0	0	0	0	0
H_0227_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0
H_0232_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0236_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0257_Diptera_Diptera	Unidentified	unidentified	0	0	0	1	0	1	0	0	0	0	0
H_0268_Hemiptera_Aphis	Aphididae	herbivorous	5	0	0	0	0	1	0	0	0	1	1
H_0271_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0276_Diptera_Diptera	Unidentified	unidentified	2	2	0	1	0	1	0	0	0	1	0
H_0278_Diptera_Sciara	Sciaridae	detritivorous	1	0	0	0	1	1	0	0	0	0	0
H_0279_Hymenoptera_Aphidius	Braconidae	predatory/parasitic	0	0	0	0	1	1	0	0	0	0	0
H_0280_Hemiptera_Delphacidae	Delphacidae	herbivorous	0	0	0	2	0	1	1	0	0	0	0
H_0287_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0
H_0289_Diptera_Diptera	Unidentified	unidentified	5	0	1	4	0	1	0	0	0	1	0
H_0292_Diptera_Ephydridae	Ephydridae	variable	0	1	0	0	0	0	0	0	0	0	0
H_0298_Diptera_Megaselia	Phoridae	variable	1	1	0	0	0	0	0	0	0	0	0
H_0301_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0309_Hemiptera_Geisha.distinctissima	Flatidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0
H_0310_Diptera_Megaselia	Phoridae	variable	1	1	0	0	0	0	0	0	0	0	0
H_0321_Diptera_Bradysia	Sciaridae	detritivorous	2	0	0	0	0	0	0	0	0	0	0
H_0332_Lepidoptera_Lepidoptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0334_Diptera_Diptera	Unidentified	unidentified	1	1	0	0	0	0	0	0	0	0	0
H_0344_Diptera_Dolichopodidae	Dolichopodidae	variable	1	0	0	0	0	0	0	0	0	0	0
H_0346_Hemiptera_Miridae	Miridae	variable	0	0	0	0	0	0	0	0	0	1	0
H_0348_Diptera_Drosophilidae	Drosophilidae	variable	0	1	0	0	0	0	0	0	0	0	0
H_0356_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	1	0	0	0	0	0	0	0
H_0367_Diptera_Diptera	Unidentified	unidentified	2	0	0	0	0	0	0	0	0	0	0
H_0370_Hymenoptera_Hymenoptera	Unidentified	unidentified	8	0	0	0	2	1	0	0	0	0	0
H_0372_Diptera_Diptera	Unidentified	unidentified	1	1	0	0	0	0	0	0	0	0	0
H_0394_Hymenoptera_Eulophidae	Eulophidae	predatory/parasitic	0	0	0	0	1	0	0	0	0	0	0
H_0400_Hemiptera_Aphididae	Aphididae	herbivorous	2	0	0	1	0	0	0	0	0	0	0
H_0404_Diptera_Dasineura	Cecidomyiidae	variable	2	0	0	1	0	2	0	0	0	0	0
H_0406_Diptera_Diptera	Unidentified	unidentified	0	0	0	3	0	0	0	0	0	0	0
H_0431_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	0	0	0	0	0	1	0	0
H_0434_Lepidoptera_Geometridae	Geometridae	herbivorous	0	0	0	0	0	1	0	0	0	0	0
H_0457_Hemiptera_Empoascanara	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0460_Hemiptera_Hemiptera	Unidentified	unidentified	2	0	0	0	0	0	0	0	0	0	0
H_0468_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	0	0	0	0	0	0	1	0
H_0476_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	1	1	0	0	0	0	0
H_0478_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0485_Diptera_Phoridae	Phoridae	variable	0	0	0	0	1	0	0	0	0	0	0
H_0501_Diptera_Diptera	Unidentified	unidentified	0	1	0	0	0	0	0	0	0	0	0
H_0519_Diptera_Diptera	Unidentified	unidentified	0	0	0	1	0	0	0	0	0	0	0
H_0522_Lepidoptera_Pelopidas.mathias	Hesperiidae	herbivorous	0	0	0	0	0	1	0	0	0	0	0
H_0527_Diptera_Diptera	Unidentified	unidentified	0	1	0	0	0	0	0	0	0	0	0
H_0543_Hymenoptera_Braconidae	Braconidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0552_Hemiptera_Saldula	Saldidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0554_Hemiptera_Hemiptera	Unidentified	unidentified	0	0	0	0	1	2	0	0	0	0	0
H_0563_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	1	0	1	0	0	0	0	0
H_0570_Diptera_Paratanytarsus	Chironomidae	detritivorous	0	0	0	0	0	0	0	0	0	1	0
H_0575_Hemiptera_Hemiptera	Unidentified	unidentified	0	0	0	1	0	0	0	0	0	0	0
H_0576_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0584_Hemiptera_Anoecia	Anoeciidae	herbivorous	1	0	0	1	0	0	0	0	0	0	0
H_0589_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	1	0	0	0	0	0	1	0
H_0625_Coleoptera_Atomaria	Cryptophagidae	variable	1	0	0	0	0	0	0	0	0	0	0
H_0643_Diptera_Ephydridae	Ephydridae	variable	1	1	0	0	0	0	0	0	0	0	0
H_0660_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0
H_0662_Diptera_Diptera	Unidentified	unidentified	0	2	0	1	0	0	0	0	0	0	0
H_0674_Diptera_Dolichosciara	Sciaridae	detritivorous	0	0	0	0	1	0	0	0	0	0	0
H_0675_Orthoptera_Tettigoniidae	Tettigoniidae	variable	0	0	0	0	0	1	0	0	0	0	0
H_0678_Hemiptera_Anoecia	Anoeciidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0686_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0697_Hemiptera_Anoecia	Anoeciidae	herbivorous	3	0	0	0	0	0	0	0	0	0	0
H_0727_Hymenoptera_Athalia	Tenthredinidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0
H_0732_Coleoptera_Coleoptera	Unidentified	unidentified	1	0	0	0	0	1	0	0	0	0	0
H_0767_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0783_Hemiptera_Tuberculatus	Aphididae	herbivorous	0	0	0	0	1	0	0	0	0	0	0
H_0789_Diptera_Diptera	Unidentified	unidentified	0	0	0	1	0	0	0	0	0	0	0
H_0799_Hemiptera_Aphididae	Aphididae	herbivorous	3	0	0	1	0	0	0	0	0	0	0
H_0824_Hymenoptera_Hymenoptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0835_Coleoptera_Coleoptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0836_Diptera_Culicidae	Culicidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0838_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	0	0	0	1	0	0	0
H_0865_Coleoptera_Coleoptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0907_Hymenoptera_Hymenoptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0908_Lepidoptera_Ctenoplusia	Noctuidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0
H_0930_Hymenoptera_Hymenoptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0949_Diptera_Cecidomyiidae	Cecidomyiidae	variable	1	0	0	0	0	0	0	0	0	0	0
H_0960_Hemiptera_Aphididae	Aphididae	herbivorous	4	0	0	2	0	4	0	0	1	0	0
H_0964_Diptera_Diptera	Unidentified	unidentified	0	0	0	1	0	0	0	0	0	0	0
H_0969_Hemiptera_Hemiptera	Unidentified	unidentified	0	0	0	0	0	0	0	0	0	0	1
H_0972_Hemiptera_Hemiptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_0974_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	0	0	1	0	0	0	0
H_1002_Hemiptera_Aphididae	Aphididae	herbivorous	2	0	0	0	0	0	0	0	0	0	0
H_1004_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0
H_1007_Diptera_Cecidomyiidae	Cecidomyiidae	variable	1	0	0	0	0	0	0	0	0	0	0
H_1009_Coleoptera_Cantharidae	Cantharidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
H_1046_Lepidoptera_Vanessa.cardui	Nymphalidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_1060_Diptera_Sphaeroceridae	Sphaeroceridae	detritivorous	0	1	0	0	0	0	0	0	0	0	0
H_1093_Diptera_Corynoptera	Sciaridae	detritivorous	1	0	0	0	0	0	0	0	0	0	0
H_1137_Lepidoptera_Lepidoptera	Unidentified	unidentified	0	0	0	0	1	0	0	0	0	0	0
H_1161_Hymenoptera_Diapriidae	Diapriidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
H_1205_Hemiptera_Aphididae	Aphididae	herbivorous	5	0	0	1	0	0	0	0	0	0	0
H_1208_Diptera_Cecidomyiidae	Cecidomyiidae	variable	1	0	0	0	0	0	0	0	0	0	0
