family	hexa_id	diet
Formicidae	H_0081_Hymenoptera_Formicidae	predatory/parasitic
Chironomidae	H_0082_Diptera_Chironomidae	detritivorous
Lycaenidae	H_0083_Lepidoptera_Cupido.argiades	herbivorous
Unidentified	H_0084_Diptera_Diptera	unidentified
Unidentified	H_0085_Orthoptera_Orthoptera	unidentified
Unidentified	H_0087_Diptera_Diptera	unidentified
Scarabaeidae	H_0088_Coleoptera_Popillia	variable
Sciaridae	H_0089_Diptera_Bradysia	detritivorous
Scatopsidae	H_0090_Diptera_Coboldia	detritivorous
Aphididae	H_0091_Hemiptera_Therioaphis.trifolii	herbivorous
Cecidomyiidae	H_0092_Diptera_Rhopalomyia	variable
Trichogrammatidae	H_0093_Hymenoptera_Trichogramma	predatory/parasitic
Phoridae	H_0094_Diptera_Phoridae	variable
Tettigoniidae	H_0095_Orthoptera_Gampsocleis	variable
Unidentified	H_0097_Diptera_Diptera	unidentified
Unidentified	H_0098_Hymenoptera_Hymenoptera	unidentified
Lycaenidae	H_0099_Lepidoptera_Lycaena	herbivorous
Unidentified	H_0100_Hemiptera_Hemiptera	unidentified
Andrenidae	H_0101_Hymenoptera_Andrena	herbivorous
Lauxaniidae	H_0102_Diptera_Homoneura	detritivorous
Gryllidae	H_0103_Orthoptera_Trigonidium	variable
Unidentified	H_0104_Hymenoptera_Hymenoptera	unidentified
Sciaridae	H_0105_Diptera_Sciaridae	detritivorous
Aphididae	H_0106_Hemiptera_Rhopalosiphum.padi	herbivorous
Sarcophagidae	H_0108_Diptera_Sarcophagidae	detritivorous
Drosophilidae	H_0109_Diptera_Scaptomyza	variable
Platystomatidae	H_0110_Diptera_Rivellia	variable
Unidentified	H_0111_Diptera_Diptera	unidentified
Unidentified	H_0112_Diptera_Diptera	unidentified
Limoniidae	H_0113_Diptera_Limoniidae	variable
Unidentified	H_0114_Diptera_Diptera	unidentified
Gryllidae	H_0115_Orthoptera_Gryllidae	variable
Ceratopogonidae	H_0116_Diptera_Atrichopogon	predatory/parasitic
Aphididae	H_0117_Hemiptera_Aphididae	herbivorous
Tettigoniidae	H_0118_Orthoptera_Tettigoniidae	variable
Elateridae	H_0119_Coleoptera_Elateridae	variable
Formicidae	H_0120_Hymenoptera_Lasius	predatory/parasitic
Pentatomidae	H_0121_Hemiptera_Pentatomidae	herbivorous
Rhinotermitidae	H_0122_Blattodea_Reticulitermes	detritivorous
Unidentified	H_0123_Lepidoptera_Lepidoptera	unidentified
Chrysomelidae	H_0124_Coleoptera_Chrysomelidae	herbivorous
Cicadellidae	H_0125_Hemiptera_Cicadellidae	herbivorous
Cicadellidae	H_0128_Hemiptera_Cicadellidae	herbivorous
Cecidomyiidae	H_0129_Diptera_Cecidomyiidae	variable
Unidentified	H_0130_Diptera_Diptera	unidentified
Unidentified	H_0131_Collembola_Collembola	unidentified
Cicadellidae	H_0132_Hemiptera_Cicadellidae	herbivorous
Aphididae	H_0133_Hemiptera_Chaitophorus	herbivorous
Chrysomelidae	H_0135_Coleoptera_Chrysomelidae	herbivorous
Unidentified	H_0136_Lepidoptera_Lepidoptera	unidentified
Sciaridae	H_0137_Diptera_Austrosciara	detritivorous
Ichneumonidae	H_0138_Hymenoptera_Ichneumonidae	predatory/parasitic
Formicidae	H_0139_Hymenoptera_Formicidae	predatory/parasitic
Gryllidae	H_0140_Orthoptera_Polionemobius	variable
Cecidomyiidae	H_0141_Diptera_Cecidomyiidae	variable
Chironomidae	H_0142_Diptera_Chironomus	detritivorous
Unidentified	H_0143_Diptera_Diptera	unidentified
Unidentified	H_0144_Lepidoptera_Lepidoptera	unidentified
Phoridae	H_0145_Diptera_Phoridae	variable
Unidentified	H_0146_Lepidoptera_Lepidoptera	unidentified
Cecidomyiidae	H_0147_Diptera_Cecidomyiidae	variable
Unidentified	H_0148_Diptera_Diptera	unidentified
Dolichopodidae	H_0150_Diptera_Gymnopternus	variable
Unidentified	H_0151_Lepidoptera_Lepidoptera	unidentified
Unidentified	H_0152_Diptera_Diptera	unidentified
Unidentified	H_0153_Diptera_Diptera	unidentified
Cecidomyiidae	H_0154_Diptera_Cecidomyiidae	variable
Unidentified	H_0155_Hemiptera_Hemiptera	unidentified
Aphrophoridae	H_0157_Hemiptera_Aphrophora	herbivorous
Cicadellidae	H_0158_Hemiptera_Cicadellidae	herbivorous
Sciaridae	H_0159_Diptera_Sciaridae	detritivorous
Pyrgomorphidae	H_0160_Orthoptera_Atractomorpha	herbivorous
Aphrophoridae	H_0161_Hemiptera_Aphrophoridae	herbivorous
Cecidomyiidae	H_0164_Diptera_Cecidomyiidae	variable
Sciaridae	H_0165_Diptera_Bradysia	detritivorous
Unidentified	H_0166_Diptera_Diptera	unidentified
Unidentified	H_0167_Diptera_Diptera	unidentified
Chrysomelidae	H_0168_Coleoptera_Chrysomelidae	herbivorous
Ichneumonidae	H_0169_Hymenoptera_Ichneumonidae	predatory/parasitic
Tachinidae	H_0170_Diptera_Exorista	predatory/parasitic
Unidentified	H_0171_Diptera_Diptera	unidentified
Unidentified	H_0172_Hemiptera_Hemiptera	unidentified
Drosophilidae	H_0173_Diptera_Drosophilidae	variable
Unidentified	H_0174_Diptera_Diptera	unidentified
Unidentified	H_0176_Lepidoptera_Lepidoptera	unidentified
Unidentified	H_0177_Diptera_Diptera	unidentified
Drosophilidae	H_0178_Diptera_Drosophila	variable
Hormaphididae	H_0179_Hemiptera_Pseudoregma.panicola	herbivorous
Aleyrodidae	H_0180_Hemiptera_Bemisia	herbivorous
Sciaridae	H_0181_Diptera_Sciaridae	detritivorous
Unidentified	H_0182_Diptera_Diptera	unidentified
Formicidae	H_0183_Hymenoptera_Formicidae	predatory/parasitic
Syrphidae	H_0184_Diptera_Melanostoma	variable
Unidentified	H_0185_Diptera_Diptera	unidentified
Aphididae	H_0186_Hemiptera_Aphis.spiraecola	herbivorous
Unidentified	H_0187_Diptera_Diptera	unidentified
Unidentified	H_0188_Lepidoptera_Lepidoptera	unidentified
Phoridae	H_0189_Diptera_Phoridae	variable
Curculionidae	H_0191_Coleoptera_Curculionidae	herbivorous
Agromyzidae	H_0192_Diptera_Melanagromyza	herbivorous
Pipunculidae	H_0193_Diptera_Pipunculidae	predatory/parasitic
Sciaridae	H_0194_Diptera_Sciaridae	detritivorous
Tipulidae	H_0195_Diptera_Tipulidae	herbivorous
Cecidomyiidae	H_0196_Diptera_Cecidomyiidae	variable
Sciaridae	H_0197_Diptera_Sciara	detritivorous
Triozidae	H_0198_Hemiptera_Triozidae	herbivorous
Cicadellidae	H_0199_Hemiptera_Cicadellidae	herbivorous
Cantharidae	H_0200_Coleoptera_Cantharidae	predatory/parasitic
Trichoceridae	H_0201_Diptera_Trichocera	detritivorous
Cicadellidae	H_0202_Hemiptera_Empoasca	herbivorous
Baetidae	H_0203_Ephemeroptera_Cloeon	detritivorous
Cecidomyiidae	H_0204_Diptera_Cecidomyiidae	variable
Unidentified	H_0205_Diptera_Diptera	unidentified
Entomobryidae	H_0206_Collembola_Homidia	detritivorous
Curculionidae	H_0207_Coleoptera_Curculionidae	herbivorous
Noctuidae	H_0208_Lepidoptera_Sesamia	herbivorous
Drosophilidae	H_0209_Diptera_Drosophilidae	variable
Chrysopidae	H_0210_Neuroptera_Chrysoperla	predatory/parasitic
Unidentified	H_0211_Diptera_Diptera	unidentified
Cecidomyiidae	H_0212_Diptera_Cecidomyiidae	variable
Unidentified	H_0213_Diptera_Diptera	unidentified
Curculionidae	H_0214_Coleoptera_Rhinoncus	herbivorous
Cicadellidae	H_0215_Hemiptera_Cicadellidae	herbivorous
Unidentified	H_0216_Hymenoptera_Hymenoptera	unidentified
Miridae	H_0217_Hemiptera_Creontiades	variable
Chrysomelidae	H_0218_Coleoptera_Chaetocnema	herbivorous
Pieridae	H_0219_Lepidoptera_Eurema.hecabe	herbivorous
Unidentified	H_0220_Hymenoptera_Hymenoptera	unidentified
Unidentified	H_0222_Coleoptera_Coleoptera	unidentified
Cicadellidae	H_0223_Hemiptera_Cicadellidae	herbivorous
Cecidomyiidae	H_0224_Diptera_Cecidomyiidae	variable
Eulophidae	H_0225_Hymenoptera_Eulophidae	predatory/parasitic
Aphididae	H_0226_Hemiptera_Aphididae	herbivorous
Cicadellidae	H_0227_Hemiptera_Cicadellidae	herbivorous
Unidentified	H_0228_Diptera_Diptera	unidentified
Tettigoniidae	H_0229_Orthoptera_Tettigoniidae	variable
Unidentified	H_0230_Diptera_Diptera	unidentified
Cecidomyiidae	H_0231_Diptera_Cecidomyiidae	variable
Chrysomelidae	H_0232_Coleoptera_Chrysomelidae	herbivorous
Unidentified	H_0234_Diptera_Diptera	unidentified
Unidentified	H_0235_Diptera_Diptera	unidentified
Unidentified	H_0236_Diptera_Diptera	unidentified
Formicidae	H_0237_Hymenoptera_Pheidole	predatory/parasitic
Unidentified	H_0238_Hemiptera_Hemiptera	unidentified
Cecidomyiidae	H_0239_Diptera_Cecidomyiidae	variable
Unidentified	H_0240_Lepidoptera_Lepidoptera	unidentified
Unidentified	H_0241_Diptera_Diptera	unidentified
Unidentified	H_0243_Coleoptera_Coleoptera	unidentified
Formicidae	H_0244_Hymenoptera_Formicidae	predatory/parasitic
Unidentified	H_0245_Diptera_Diptera	unidentified
Unidentified	H_0246_Diptera_Diptera	unidentified
Cecidomyiidae	H_0247_Diptera_Cecidomyiidae	variable
Cecidomyiidae	H_0248_Diptera_Cecidomyiidae	variable
Erebidae	H_0249_Lepidoptera_Erebidae	herbivorous
Eurytomidae	H_0250_Hymenoptera_Eurytomidae	herbivorous
Geometridae	H_0251_Lepidoptera_Inurois	herbivorous
Formicidae	H_0252_Hymenoptera_Lasius	predatory/parasitic
Syrphidae	H_0253_Diptera_Syrphidae	variable
Cecidomyiidae	H_0254_Diptera_Cecidomyiidae	variable
Formicidae	H_0255_Hymenoptera_Formica	predatory/parasitic
Lauxaniidae	H_0256_Diptera_Minettia	detritivorous
Unidentified	H_0257_Diptera_Diptera	unidentified
Aphididae	H_0258_Hemiptera_Aphididae	herbivorous
Cecidomyiidae	H_0259_Diptera_Cecidomyiidae	variable
Tomoceridae	H_0261_Collembola_Tomocerus	detritivorous
Unidentified	H_0262_Hemiptera_Hemiptera	unidentified
Tachinidae	H_0264_Diptera_Aplomya	predatory/parasitic
Coccinellidae	H_0265_Coleoptera_Scymnus	predatory/parasitic
Cecidomyiidae	H_0266_Diptera_Cecidomyiidae	variable
Curculionidae	H_0267_Coleoptera_Curculionidae	herbivorous
Aphididae	H_0268_Hemiptera_Aphis	herbivorous
Aleyrodidae	H_0269_Hemiptera_Bemisia	herbivorous
Dolichopodidae	H_0270_Diptera_Chrysotus	variable
Unidentified	H_0271_Diptera_Diptera	unidentified
Tipulidae	H_0272_Diptera_Tipulidae	herbivorous
Unidentified	H_0273_Hemiptera_Hemiptera	unidentified
Unidentified	H_0274_Diptera_Diptera	unidentified
Cecidomyiidae	H_0275_Diptera_Cecidomyiidae	variable
Unidentified	H_0276_Diptera_Diptera	unidentified
Sciaridae	H_0277_Diptera_Bradysia	detritivorous
Sciaridae	H_0278_Diptera_Sciara	detritivorous
Braconidae	H_0279_Hymenoptera_Aphidius	predatory/parasitic
Delphacidae	H_0280_Hemiptera_Delphacidae	herbivorous
Unidentified	H_0281_Hymenoptera_Hymenoptera	unidentified
Sciaridae	H_0282_Diptera_Sciaridae	detritivorous
Unidentified	H_0283_Diptera_Diptera	unidentified
Cecidomyiidae	H_0285_Diptera_Cecidomyiidae	variable
Lithobiidae	H_0286_Lithobiomorpha_Lithobiidae	predatory/parasitic
Mycetophilidae	H_0287_Diptera_Mycetophilidae	detritivorous
Cecidomyiidae	H_0288_Diptera_Cecidomyiidae	variable
Unidentified	H_0289_Diptera_Diptera	unidentified
Entomobryidae	H_0290_Collembola_Homidia	detritivorous
Cecidomyiidae	H_0291_Diptera_Cecidomyiidae	variable
Ephydridae	H_0292_Diptera_Ephydridae	variable
Tephritidae	H_0293_Diptera_Ensina.sonchi	herbivorous
Cecidomyiidae	H_0294_Diptera_Cecidomyiidae	variable
Unidentified	H_0295_Diptera_Diptera	unidentified
Sciaridae	H_0296_Diptera_Sciaridae	detritivorous
Phoridae	H_0298_Diptera_Megaselia	variable
Sciaridae	H_0299_Diptera_Bradysia	detritivorous
Unidentified	H_0301_Diptera_Diptera	unidentified
Noctuidae	H_0302_Lepidoptera_Mythimna	herbivorous
Alydidae	H_0305_Hemiptera_Riptortus.pedestris	herbivorous
Unidentified	H_0306_Diptera_Diptera	unidentified
Cecidomyiidae	H_0307_Diptera_Cecidomyiidae	variable
Unidentified	H_0308_Diptera_Diptera	unidentified
Flatidae	H_0309_Hemiptera_Geisha.distinctissima	herbivorous
Phoridae	H_0310_Diptera_Megaselia	variable
Acrididae	H_0312_Orthoptera_Acrididae	herbivorous
Unidentified	H_0313_Diptera_Diptera	unidentified
Delphacidae	H_0314_Hemiptera_Delphacidae	herbivorous
Formicidae	H_0315_Hymenoptera_Formicidae	predatory/parasitic
Delphacidae	H_0316_Hemiptera_Delphacidae	herbivorous
Cicadellidae	H_0317_Hemiptera_Cicadellidae	herbivorous
Unidentified	H_0318_Coleoptera_Coleoptera	unidentified
Ichneumonidae	H_0320_Hymenoptera_Ichneumonidae	predatory/parasitic
Sciaridae	H_0321_Diptera_Bradysia	detritivorous
Dolichopodidae	H_0322_Diptera_Dolichopodidae	variable
Phoridae	H_0323_Diptera_Dohrniphora	variable
Drosophilidae	H_0324_Diptera_Drosophilidae	variable
Unidentified	H_0325_Hemiptera_Hemiptera	unidentified
Drosophilidae	H_0326_Diptera_Drosophilidae	variable
Sciaridae	H_0327_Diptera_Sciaridae	detritivorous
Ichneumonidae	H_0328_Hymenoptera_Ichneumonidae	predatory/parasitic
Unidentified	H_0329_Diptera_Diptera	unidentified
Mycetophilidae	H_0331_Diptera_Mycetophilidae	detritivorous
Unidentified	H_0332_Lepidoptera_Lepidoptera	unidentified
Unidentified	H_0333_Diptera_Diptera	unidentified
Unidentified	H_0334_Diptera_Diptera	unidentified
Sciaridae	H_0335_Diptera_Sciaridae	detritivorous
Sciaridae	H_0336_Diptera_Bradysia	detritivorous
Gryllidae	H_0337_Orthoptera_Loxoblemmus.equestris	variable
Unidentified	H_0338_Diptera_Diptera	unidentified
Unidentified	H_0339_Diptera_Diptera	unidentified
Cecidomyiidae	H_0340_Diptera_Cecidomyiidae	variable
Noctuidae	H_0341_Lepidoptera_Noctuidae	herbivorous
Empididae	H_0343_Diptera_Empididae	predatory/parasitic
Dolichopodidae	H_0344_Diptera_Dolichopodidae	variable
Carabidae	H_0345_Coleoptera_Carabidae	predatory/parasitic
Miridae	H_0346_Hemiptera_Miridae	variable
Drosophilidae	H_0348_Diptera_Drosophilidae	variable
Mycetophilidae	H_0349_Diptera_Mycetophilidae	detritivorous
Aphididae	H_0350_Hemiptera_Aphididae	herbivorous
Cecidomyiidae	H_0351_Diptera_Cecidomyiidae	variable
Cryptophagidae	H_0352_Coleoptera_Atomaria	variable
Cecidomyiidae	H_0353_Diptera_Cecidomyiidae	variable
Unidentified	H_0355_Diptera_Diptera	unidentified
Cicadellidae	H_0356_Hemiptera_Cicadellidae	herbivorous
Unidentified	H_0357_Hemiptera_Hemiptera	unidentified
Formicidae	H_0358_Hymenoptera_Aphaenogaster	predatory/parasitic
Acrididae	H_0359_Orthoptera_Gonista	herbivorous
Cecidomyiidae	H_0360_Diptera_Cecidomyiidae	variable
Braconidae	H_0361_Hymenoptera_Braconidae	predatory/parasitic
Cicadellidae	H_0362_Hemiptera_Cicadellidae	herbivorous
Unidentified	H_0363_Diptera_Diptera	unidentified
Unidentified	H_0364_Diptera_Diptera	unidentified
Unidentified	H_0365_Coleoptera_Coleoptera	unidentified
Cecidomyiidae	H_0366_Diptera_Cecidomyiidae	variable
Unidentified	H_0367_Diptera_Diptera	unidentified
Phoridae	H_0368_Diptera_Megaselia	variable
Peripsocidae	H_0369_Psocoptera_Peripsocus	detritivorous
Unidentified	H_0370_Hymenoptera_Hymenoptera	unidentified
Tenthredinidae	H_0371_Hymenoptera_Tenthredinidae	herbivorous
Unidentified	H_0372_Diptera_Diptera	unidentified
Unidentified	H_0373_Diptera_Diptera	unidentified
Unidentified	H_0374_Lepidoptera_Lepidoptera	unidentified
Phoridae	H_0375_Diptera_Phoridae	variable
Unidentified	H_0376_Diptera_Diptera	unidentified
Sciaridae	H_0377_Diptera_Sciaridae	detritivorous
Delphacidae	H_0378_Hemiptera_Delphacidae	herbivorous
Aphididae	H_0379_Hemiptera_Aphididae	herbivorous
Unidentified	H_0381_Diptera_Diptera	unidentified
Unidentified	H_0382_Diptera_Diptera	unidentified
Unidentified	H_0383_Hymenoptera_Hymenoptera	unidentified
Unidentified	H_0384_Diptera_Diptera	unidentified
Cecidomyiidae	H_0386_Diptera_Cecidomyiidae	variable
Chironomidae	H_0387_Diptera_Chironomus	detritivorous
Formicidae	H_0388_Hymenoptera_Formicidae	predatory/parasitic
Cecidomyiidae	H_0389_Diptera_Mayetiola.destructor	variable
Unidentified	H_0391_Lepidoptera_Lepidoptera	unidentified
Cicadellidae	H_0392_Hemiptera_Cicadellidae	herbivorous
Unidentified	H_0393_Diptera_Diptera	unidentified
Eulophidae	H_0394_Hymenoptera_Eulophidae	predatory/parasitic
Cicadellidae	H_0395_Hemiptera_Cicadellidae	herbivorous
Staphylinidae	H_0396_Coleoptera_Staphylinidae	variable
Unidentified	H_0397_Neuroptera_Neuroptera	unidentified
Aphididae	H_0398_Hemiptera_Aphididae	herbivorous
Unidentified	H_0399_Coleoptera_Coleoptera	unidentified
Aphididae	H_0400_Hemiptera_Aphididae	herbivorous
Crambidae	H_0401_Lepidoptera_Crambidae	herbivorous
Cecidomyiidae	H_0403_Diptera_Cecidomyiidae	variable
Cecidomyiidae	H_0404_Diptera_Dasineura	variable
Aleyrodidae	H_0405_Hemiptera_Bemisia.tabaci	herbivorous
Unidentified	H_0406_Diptera_Diptera	unidentified
Phoridae	H_0407_Diptera_Phoridae	variable
Unidentified	H_0408_Diptera_Diptera	unidentified
Aphididae	H_0409_Hemiptera_Melanaphis	herbivorous
Cecidomyiidae	H_0410_Diptera_Cecidomyiidae	variable
Sepsidae	H_0411_Diptera_Sepsis	detritivorous
Formicidae	H_0412_Hymenoptera_Formicidae	predatory/parasitic
Formicidae	H_0413_Hymenoptera_Formica	predatory/parasitic
Unidentified	H_0415_Hymenoptera_Hymenoptera	unidentified
Halictidae	H_0416_Hymenoptera_Halictidae	herbivorous
Endomychidae	H_0417_Coleoptera_Endomychidae	herbivorous
Formicidae	H_0418_Hymenoptera_Nylanderia	predatory/parasitic
Culicidae	H_0420_Diptera_Culicidae	predatory/parasitic
Sciaridae	H_0421_Diptera_Bradysia	detritivorous
Sciaridae	H_0422_Diptera_Sciaridae	detritivorous
Ceraphronidae	H_0424_Hymenoptera_Ceraphronidae	predatory/parasitic
Cecidomyiidae	H_0425_Diptera_Cecidomyiidae	variable
Cecidomyiidae	H_0426_Diptera_Cecidomyiidae	variable
Tettigoniidae	H_0427_Orthoptera_Tettigoniidae	variable
Cecidomyiidae	H_0428_Diptera_Cecidomyiidae	variable
Unidentified	H_0430_Diptera_Diptera	unidentified
Aphididae	H_0431_Hemiptera_Aphididae	herbivorous
Cecidomyiidae	H_0432_Diptera_Cecidomyiidae	variable
Cicadellidae	H_0433_Hemiptera_Cicadellidae	herbivorous
Geometridae	H_0434_Lepidoptera_Geometridae	herbivorous
Cecidomyiidae	H_0435_Diptera_Cecidomyiidae	variable
Limoniidae	H_0438_Diptera_Dicranomyia	variable
Unidentified	H_0439_Diptera_Diptera	unidentified
Unidentified	H_0440_Coleoptera_Coleoptera	unidentified
Unidentified	H_0441_Hemiptera_Hemiptera	unidentified
Aleyrodidae	H_0442_Hemiptera_Aleyrodidae	herbivorous
Sciaridae	H_0443_Diptera_Pseudolycoriella	detritivorous
Cicadellidae	H_0444_Hemiptera_Cicadellidae	herbivorous
Noctuidae	H_0445_Lepidoptera_Noctuidae	herbivorous
Sciaridae	H_0446_Diptera_Sciaridae	detritivorous
Mycetophilidae	H_0448_Diptera_Boletina	detritivorous
Cecidomyiidae	H_0449_Diptera_Cecidomyiidae	variable
Cecidomyiidae	H_0450_Diptera_Cecidomyiidae	variable
Culicidae	H_0451_Diptera_Anopheles	predatory/parasitic
Cecidomyiidae	H_0452_Diptera_Cecidomyiidae	variable
Culicidae	H_0453_Diptera_Aedes.albopictus	predatory/parasitic
Rhopalidae	H_0455_Hemiptera_Rhopalidae	herbivorous
Pentatomidae	H_0456_Hemiptera_Eysarcoris	herbivorous
Cicadellidae	H_0457_Hemiptera_Empoascanara	herbivorous
Unidentified	H_0458_Diptera_Diptera	unidentified
Eulophidae	H_0459_Hymenoptera_Eulophidae	predatory/parasitic
Unidentified	H_0460_Hemiptera_Hemiptera	unidentified
Unidentified	H_0461_Diptera_Diptera	unidentified
Formicidae	H_0462_Hymenoptera_Formicidae	predatory/parasitic
Cecidomyiidae	H_0464_Diptera_Cecidomyiidae	variable
Ceratopogonidae	H_0465_Diptera_Forcipomyia	predatory/parasitic
Aphididae	H_0466_Hemiptera_Aphididae	herbivorous
Formicidae	H_0467_Hymenoptera_Formicidae	predatory/parasitic
Aphididae	H_0468_Hemiptera_Aphididae	herbivorous
Unidentified	H_0469_Lepidoptera_Lepidoptera	unidentified
Cecidomyiidae	H_0470_Diptera_Cecidomyiidae	variable
Unidentified	H_0471_Lepidoptera_Lepidoptera	unidentified
Unidentified	H_0472_Diptera_Diptera	unidentified
Cicadellidae	H_0473_Hemiptera_Cicadellidae	herbivorous
Unidentified	H_0474_Coleoptera_Coleoptera	unidentified
Cecidomyiidae	H_0475_Diptera_Cecidomyiidae	variable
Unidentified	H_0476_Diptera_Diptera	unidentified
Cecidomyiidae	H_0477_Diptera_Cecidomyiidae	variable
Unidentified	H_0478_Diptera_Diptera	unidentified
Aphididae	H_0479_Hemiptera_Hyperomyzus.carduellinus	herbivorous
Unidentified	H_0480_Diptera_Diptera	unidentified
Drosophilidae	H_0481_Diptera_Drosophilidae	variable
Curculionidae	H_0483_Coleoptera_Tychius	herbivorous
Ceraphronidae	H_0484_Hymenoptera_Ceraphronidae	predatory/parasitic
Phoridae	H_0485_Diptera_Phoridae	variable
Cicadellidae	H_0486_Hemiptera_Cicadellidae	herbivorous
Entomobryidae	H_0487_Collembola_Homidia	detritivorous
Coenagrionidae	H_0488_Odonata_Ischnura	predatory/parasitic
Corylophidae	H_0489_Coleoptera_Sericoderus	detritivorous
Unidentified	H_0490_Hymenoptera_Hymenoptera	unidentified
Reduviidae	H_0491_Hemiptera_Peirates	predatory/parasitic
Unidentified	H_0492_Diptera_Diptera	unidentified
Cecidomyiidae	H_0493_Diptera_Cecidomyiidae	variable
Baetidae	H_0494_Ephemeroptera_Baetis	detritivorous
Staphylinidae	H_0495_Coleoptera_Staphylinidae	variable
Crambidae	H_0497_Lepidoptera_Ostrinia	herbivorous
Gryllidae	H_0498_Orthoptera_Trigonidium	variable
Formicidae	H_0499_Hymenoptera_Formicidae	predatory/parasitic
Cecidomyiidae	H_0500_Diptera_Cecidomyiidae	variable
Unidentified	H_0501_Diptera_Diptera	unidentified
Aleyrodidae	H_0502_Hemiptera_Bemisia	herbivorous
Aphididae	H_0503_Hemiptera_Aphididae	herbivorous
Tropiduchidae	H_0504_Hemiptera_Ossoides.lineatus	herbivorous
Crambidae	H_0505_Lepidoptera_Crambidae	herbivorous
