hexa_id	family	diet	Oxyopes_sertatus	Pachygnatha_tenera	Cyclosa_sedeculata	Ebrechtella_tricuspidata	Clubiona_sp.	Salticidae_sp.2	Larinia_argiopiformis	Cheiracanthium_japonicum	Mendoza_elongata	Argiope_bruennichi	Nephila_clavata	Leucauge_blanda	Diaea_subdola	Salticidae_sp.6	Salticidae_sp.5	Thomisus_labefactus	Xysticus_sp.	Araneus_abscissus	Argiope_amoena	Neoscona_mellotteei	Myrmarachne_sp.	Neoscona_scylloides
H_0457_Hemiptera_Empoascanara	Cicadellidae	herbivorous	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0
H_0473_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0486_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0497_Lepidoptera_Ostrinia	Crambidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0504_Hemiptera_Ossoides.lineatus	Tropiduchidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0505_Lepidoptera_Crambidae	Crambidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
H_0522_Lepidoptera_Pelopidas.mathias	Hesperiidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
H_0571_Lepidoptera_Noctuidae	Noctuidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0663_Lepidoptera_Pyralidae	Pyralidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0777_Lepidoptera_Noctuidae	Noctuidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
H_0799_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0820_Hemiptera_Coreidae	Coreidae	herbivorous	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0841_Hemiptera_Bemisia	Aleyrodidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0898_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1099_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
