Oxyopes_sertatus	Pachygnatha_tenera	Cyclosa_sedeculata	Ebrechtella_tricuspidata	Clubiona_sp.	Salticidae_sp.2	Larinia_argiopiformis	Cheiracanthium_japonicum	Mendoza_elongata	Argiope_bruennichi	Nephila_clavata	Leucauge_blanda	Diaea_subdola	Salticidae_sp.6	Salticidae_sp.5	Thomisus_labefactus	Xysticus_sp.	Araneus_abscissus	Argiope_amoena	Neoscona_mellotteei	Myrmarachne_sp.	Neoscona_scylloides
H_0090_Diptera_Coboldia	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
H_0092_Diptera_Rhopalomyia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0094_Diptera_Phoridae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0099_Lepidoptera_Lycaena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
H_0115_Orthoptera_Gryllidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0118_Orthoptera_Tettigoniidae	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0125_Hemiptera_Cicadellidae	0	0	1	1	0	0	0	0	1	1	1	2	0	0	0	1	2	0	1	0	0	0
H_0132_Hemiptera_Cicadellidae	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
H_0135_Coleoptera_Chrysomelidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0137_Diptera_Austrosciara	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0153_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0155_Hemiptera_Hemiptera	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0157_Hemiptera_Aphrophora	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
H_0167_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0176_Lepidoptera_Lepidoptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
H_0180_Hemiptera_Bemisia	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
H_0181_Diptera_Sciaridae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0186_Hemiptera_Aphis.spiraecola	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
H_0188_Lepidoptera_Lepidoptera	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
H_0199_Hemiptera_Cicadellidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0203_Ephemeroptera_Cloeon	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	3	0	0	0	0	0
H_0225_Hymenoptera_Eulophidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0227_Hemiptera_Cicadellidae	0	0	1	0	0	1	0	0	1	2	0	0	0	0	1	0	3	0	0	1	0	0
H_0229_Orthoptera_Tettigoniidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0237_Hymenoptera_Pheidole	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0249_Lepidoptera_Erebidae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0255_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
H_0265_Coleoptera_Scymnus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0268_Hemiptera_Aphis	1	0	1	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0
H_0271_Diptera_Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
H_0273_Hemiptera_Hemiptera	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0285_Diptera_Cecidomyiidae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
H_0294_Diptera_Cecidomyiidae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0307_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0309_Hemiptera_Geisha.distinctissima	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0316_Hemiptera_Delphacidae	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
H_0317_Hemiptera_Cicadellidae	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0322_Diptera_Dolichopodidae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0323_Diptera_Dohrniphora	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0332_Lepidoptera_Lepidoptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0352_Coleoptera_Atomaria	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0359_Orthoptera_Gonista	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
H_0378_Hemiptera_Delphacidae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0397_Neuroptera_Neuroptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0400_Hemiptera_Aphididae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0413_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
H_0418_Hymenoptera_Nylanderia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0426_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0427_Orthoptera_Tettigoniidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0428_Diptera_Cecidomyiidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0434_Lepidoptera_Geometridae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0443_Diptera_Pseudolycoriella	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0457_Hemiptera_Empoascanara	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0
H_0473_Hemiptera_Cicadellidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0474_Coleoptera_Coleoptera	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0480_Diptera_Diptera	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
H_0486_Hemiptera_Cicadellidae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0488_Odonata_Ischnura	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0497_Lepidoptera_Ostrinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0504_Hemiptera_Ossoides.lineatus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0505_Lepidoptera_Crambidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
H_0517_Odonata_Pantala.flavescens	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0519_Diptera_Diptera	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0522_Lepidoptera_Pelopidas.mathias	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
H_0533_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0546_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0549_Diptera_Mycetophilidae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0557_Neuroptera_Neuroptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0571_Lepidoptera_Noctuidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0585_Lepidoptera_Lepidoptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0590_Hymenoptera_Braconidae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0591_Diptera_Lestodiplosis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0608_Neuroptera_Neuroptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0609_Coleoptera_Coleoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0612_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0617_Neuroptera_Mantispidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0620_Lepidoptera_Lepidoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0639_Hymenoptera_Hymenoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0651_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
H_0663_Lepidoptera_Pyralidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0665_Diptera_Cecidomyiidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0668_Diptera_Chironomidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0684_Coleoptera_Coleoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0698_Diptera_Lestodiplosis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0707_Diptera_Diptera	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
H_0713_Strepsiptera_Halictophagidae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0725_Hymenoptera_Ceratobaeus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0730_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0747_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
H_0763_Hymenoptera_Formica.cunicularia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
H_0777_Lepidoptera_Noctuidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
H_0799_Hemiptera_Aphididae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0808_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0819_Hymenoptera_Ceraphron	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0820_Hemiptera_Coreidae	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0841_Hemiptera_Bemisia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0844_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0878_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
H_0895_Lepidoptera_Lepidoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0898_Hemiptera_Aphididae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0939_Hemiptera_Hemiptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0941_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
H_0954_Hymenoptera_Ceraphron	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0962_Diptera_Diptera	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1018_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1031_Lepidoptera_Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_1053_Coleoptera_Coleoptera	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_1057_Lepidoptera_Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1080_Hymenoptera_Formica.cunicularia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
H_1084_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1097_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1099_Hemiptera_Cicadellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1119_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1142_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1146_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1167_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1173_Hymenoptera_Formica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1204_Diptera_Megaselia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1214_Neuroptera_Neuroptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
