Oxyopes_sertatus	Tetragnatha_caudicula	Argiope_amoena	Xysticus_sp.	Leucauge_blanda	Ebrechtella_tricuspidata	Tetragnatha_praedonia	Diaea_subdola	Pardosa_sp.	Oxytate_striatipes	Neriene_radiata
H_0209_Diptera_Drosophilidae	2	0	0	0	0	0	0	0	0	0	0
H_0215_Hemiptera_Cicadellidae	2	0	0	0	0	1	0	0	0	0	0
H_0216_Hymenoptera_Hymenoptera	0	0	0	1	0	0	0	0	0	0	0
H_0223_Hemiptera_Cicadellidae	0	1	0	0	0	0	0	0	0	1	0
H_0226_Hemiptera_Aphididae	5	0	0	2	0	0	0	0	0	0	0
H_0227_Hemiptera_Cicadellidae	0	0	0	1	0	0	0	0	0	0	0
H_0232_Coleoptera_Chrysomelidae	1	0	0	0	0	0	0	0	0	0	0
H_0236_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0
H_0257_Diptera_Diptera	0	0	0	1	0	1	0	0	0	0	0
H_0268_Hemiptera_Aphis	5	0	0	0	0	1	0	0	0	1	1
H_0271_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0
H_0276_Diptera_Diptera	2	2	0	1	0	1	0	0	0	1	0
H_0278_Diptera_Sciara	1	0	0	0	1	1	0	0	0	0	0
H_0279_Hymenoptera_Aphidius	0	0	0	0	1	1	0	0	0	0	0
H_0280_Hemiptera_Delphacidae	0	0	0	2	0	1	1	0	0	0	0
H_0287_Diptera_Mycetophilidae	1	0	0	0	0	0	0	0	0	0	0
H_0289_Diptera_Diptera	5	0	1	4	0	1	0	0	0	1	0
H_0292_Diptera_Ephydridae	0	1	0	0	0	0	0	0	0	0	0
H_0298_Diptera_Megaselia	1	1	0	0	0	0	0	0	0	0	0
H_0301_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0
H_0309_Hemiptera_Geisha.distinctissima	0	0	0	1	0	0	0	0	0	0	0
H_0310_Diptera_Megaselia	1	1	0	0	0	0	0	0	0	0	0
H_0321_Diptera_Bradysia	2	0	0	0	0	0	0	0	0	0	0
H_0332_Lepidoptera_Lepidoptera	1	0	0	0	0	0	0	0	0	0	0
H_0334_Diptera_Diptera	1	1	0	0	0	0	0	0	0	0	0
H_0344_Diptera_Dolichopodidae	1	0	0	0	0	0	0	0	0	0	0
H_0346_Hemiptera_Miridae	0	0	0	0	0	0	0	0	0	1	0
H_0348_Diptera_Drosophilidae	0	1	0	0	0	0	0	0	0	0	0
H_0356_Hemiptera_Cicadellidae	1	0	0	1	0	0	0	0	0	0	0
H_0367_Diptera_Diptera	2	0	0	0	0	0	0	0	0	0	0
H_0370_Hymenoptera_Hymenoptera	8	0	0	0	2	1	0	0	0	0	0
H_0372_Diptera_Diptera	1	1	0	0	0	0	0	0	0	0	0
H_0394_Hymenoptera_Eulophidae	0	0	0	0	1	0	0	0	0	0	0
H_0400_Hemiptera_Aphididae	2	0	0	1	0	0	0	0	0	0	0
H_0404_Diptera_Dasineura	2	0	0	1	0	2	0	0	0	0	0
H_0406_Diptera_Diptera	0	0	0	3	0	0	0	0	0	0	0
H_0431_Hemiptera_Aphididae	1	0	0	0	0	0	0	0	1	0	0
H_0434_Lepidoptera_Geometridae	0	0	0	0	0	1	0	0	0	0	0
H_0457_Hemiptera_Empoascanara	1	0	0	0	0	0	0	0	0	0	0
H_0460_Hemiptera_Hemiptera	2	0	0	0	0	0	0	0	0	0	0
H_0468_Hemiptera_Aphididae	0	0	0	0	0	0	0	0	0	1	0
H_0476_Diptera_Diptera	0	0	0	0	1	1	0	0	0	0	0
H_0478_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0
H_0485_Diptera_Phoridae	0	0	0	0	1	0	0	0	0	0	0
H_0501_Diptera_Diptera	0	1	0	0	0	0	0	0	0	0	0
H_0519_Diptera_Diptera	0	0	0	1	0	0	0	0	0	0	0
H_0522_Lepidoptera_Pelopidas.mathias	0	0	0	0	0	1	0	0	0	0	0
H_0527_Diptera_Diptera	0	1	0	0	0	0	0	0	0	0	0
H_0543_Hymenoptera_Braconidae	1	0	0	0	0	0	0	0	0	0	0
H_0552_Hemiptera_Saldula	1	0	0	0	0	0	0	0	0	0	0
H_0554_Hemiptera_Hemiptera	0	0	0	0	1	2	0	0	0	0	0
H_0563_Hemiptera_Aphididae	0	0	0	1	0	1	0	0	0	0	0
H_0570_Diptera_Paratanytarsus	0	0	0	0	0	0	0	0	0	1	0
H_0575_Hemiptera_Hemiptera	0	0	0	1	0	0	0	0	0	0	0
H_0576_Coleoptera_Chrysomelidae	1	0	0	0	0	0	0	0	0	0	0
H_0584_Hemiptera_Anoecia	1	0	0	1	0	0	0	0	0	0	0
H_0589_Hemiptera_Aphididae	0	0	0	1	0	0	0	0	0	1	0
H_0625_Coleoptera_Atomaria	1	0	0	0	0	0	0	0	0	0	0
H_0643_Diptera_Ephydridae	1	1	0	0	0	0	0	0	0	0	0
H_0660_Diptera_Mycetophilidae	1	0	0	0	0	0	0	0	0	0	0
H_0662_Diptera_Diptera	0	2	0	1	0	0	0	0	0	0	0
H_0674_Diptera_Dolichosciara	0	0	0	0	1	0	0	0	0	0	0
H_0675_Orthoptera_Tettigoniidae	0	0	0	0	0	1	0	0	0	0	0
H_0678_Hemiptera_Anoecia	1	0	0	0	0	0	0	0	0	0	0
H_0686_Hemiptera_Cicadellidae	1	0	0	0	0	0	0	0	0	0	0
H_0697_Hemiptera_Anoecia	3	0	0	0	0	0	0	0	0	0	0
H_0727_Hymenoptera_Athalia	0	0	0	1	0	0	0	0	0	0	0
H_0732_Coleoptera_Coleoptera	1	0	0	0	0	1	0	0	0	0	0
H_0767_Hemiptera_Cicadellidae	1	0	0	0	0	0	0	0	0	0	0
H_0783_Hemiptera_Tuberculatus	0	0	0	0	1	0	0	0	0	0	0
H_0789_Diptera_Diptera	0	0	0	1	0	0	0	0	0	0	0
H_0799_Hemiptera_Aphididae	3	0	0	1	0	0	0	0	0	0	0
H_0824_Hymenoptera_Hymenoptera	1	0	0	0	0	0	0	0	0	0	0
H_0835_Coleoptera_Coleoptera	1	0	0	0	0	0	0	0	0	0	0
H_0836_Diptera_Culicidae	1	0	0	0	0	0	0	0	0	0	0
H_0838_Diptera_Diptera	0	0	0	0	0	0	0	1	0	0	0
H_0865_Coleoptera_Coleoptera	1	0	0	0	0	0	0	0	0	0	0
H_0907_Hymenoptera_Hymenoptera	1	0	0	0	0	0	0	0	0	0	0
H_0908_Lepidoptera_Ctenoplusia	0	0	0	1	0	0	0	0	0	0	0
H_0930_Hymenoptera_Hymenoptera	1	0	0	0	0	0	0	0	0	0	0
H_0949_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0
H_0960_Hemiptera_Aphididae	4	0	0	2	0	4	0	0	1	0	0
H_0964_Diptera_Diptera	0	0	0	1	0	0	0	0	0	0	0
H_0969_Hemiptera_Hemiptera	0	0	0	0	0	0	0	0	0	0	1
H_0972_Hemiptera_Hemiptera	1	0	0	0	0	0	0	0	0	0	0
H_0974_Diptera_Diptera	0	0	0	0	0	0	1	0	0	0	0
H_1002_Hemiptera_Aphididae	2	0	0	0	0	0	0	0	0	0	0
H_1004_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0
H_1007_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0
H_1009_Coleoptera_Cantharidae	0	0	0	1	0	0	0	0	0	0	0
H_1046_Lepidoptera_Vanessa.cardui	1	0	0	0	0	0	0	0	0	0	0
H_1060_Diptera_Sphaeroceridae	0	1	0	0	0	0	0	0	0	0	0
H_1093_Diptera_Corynoptera	1	0	0	0	0	0	0	0	0	0	0
H_1137_Lepidoptera_Lepidoptera	0	0	0	0	1	0	0	0	0	0	0
H_1161_Hymenoptera_Diapriidae	0	0	0	1	0	0	0	0	0	0	0
H_1205_Hemiptera_Aphididae	5	0	0	1	0	0	0	0	0	0	0
H_1208_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0
