species	Seq.No.	date	month	male	age	bodysize	No.	order	Family	genus	species.y	ecology
アズチグモ	S45_S_746	2018.05.17-162	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_572	2018.05.16-044	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S44_S_764	2018.08.22-036	8	-	-	6.38	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_442	2018.05.14-082	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_624	2018.05.17-040	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S44_S_133	2018.06.17-069	6	-	-	3.03	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_653	2018.05.17-069	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_395	2018.05.14-035	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_743	2018.05.17-159	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S44_S_457	2018.07.20-009	7	-	-	2.77	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_291	2018.04.27-115	4	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S43_S_010	2018.09.11-010	9	2	2	3.51	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_461	2018.05.17-075	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_249	2018.04.27-073	4	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S43_S_428	2018.10.19-004	10	0	4	6.09	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_393	2018.05.14-033	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アリグモ	S44_S_581	2018.07.27-045	7	-	-	4.59	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_540	2018.07.27-004	7	-	-	5.39	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_461	2018.07.20-013	7	-	-	6.81	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_512	2018.07.20-064	7	-	-	4.87	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_416	2018.07.19-040	7	-	-	4.95	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_634	2018.08.20-034	8	-	-	6.05	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_492	2018.07.20-044	7	-	-	4.54	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_374	2018.07.17-150	7	-	-	5.58	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_730	2018.08.22-002	8	-	-	5.08	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_722	2018.08.21-042	8	-	-	6.34	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_756	2018.08.22-028	8	-	-	5.6	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_753	2018.08.22-025	8	-	-	5.91	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_647	2018.08.20-047	8	-	-	5.3	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
アリグモ	S44_S_712	2018.08.21-032	8	-	-	5.67	55	Araneae	Salticidae	Myrmarachne	Myrmarachne_sp.	free-living
イエオニグモ	S45_S_546	2018.05.16-018	5	-	-	-	16	Araneae	Araneidae	Neoscona	Neoscona_nautica	web-weaving
ウロコアシナガグモ	S45_S_342	2018.05.11-038	5	-	-	-	5	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_squamata	web-weaving
ウロコアシナガグモ	S45_S_561	2018.05.16-033	5	-	-	-	5	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_squamata	web-weaving
ウロコアシナガグモ	S45_S_211	2018.04.27-035	4	-	-	-	5	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_squamata	web-weaving
ウロコアシナガグモ	S45_S_629	2018.05.17-045	5	-	-	-	5	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_squamata	web-weaving
ウロコアシナガグモ	S45_S_678	2018.05.17-094	5	-	-	-	5	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_squamata	web-weaving
ウロコアシナガグモ	S45_S_310	2018.05.11-006	5	-	-	-	5	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_squamata	web-weaving
ウロコアシナガグモ	S45_S_365	2018.05.14-005	5	-	-	-	5	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_squamata	web-weaving
エビグモ�	S45_S_060	2018.04.17-060	4	2	2	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_059	2018.04.17-059	4	2	2	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_105	2018.04.17-105	4	2	2	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_050	2018.04.17-050	4	2	2	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_049	2018.04.17-049	4	2	2	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_091	2018.04.17-091	4	2	2	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_135	2018.04.17-135	4	2	2	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_654	2018.05.17-070	5	-	-	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_153	2018.04.18-009	4	-	-	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_014	2018.04.17-013	4	2	2	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_675	2018.05.17-091	5	-	-	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_115	2018.04.17-115	4	2	2	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_684	2018.05.17-100	5	-	-	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
エビグモ�	S45_S_219	2018.04.27-043	4	-	-	-	9	Araneae	Philodromidae	Philodromus	Philodromus_sp.	free-living
オオアシコモリグモ�	S43_S_474	2018.10.19-050	10	2	2	4.83	35	Araneae	Lycosidae	Pardosa	Pardosa_sp.	free-living
オオアシコモリグモ�	S43_S_325	2018.10.17-029	10	2	2	4.55	35	Araneae	Lycosidae	Pardosa	Pardosa_sp.	free-living
オオアシコモリグモ�	S43_S_672	2018.11.13-008	11	2	2	4.52	35	Araneae	Lycosidae	Pardosa	Pardosa_sp.	free-living
オオアシコモリグモ�	S44_S_598	2018.10.19-161	10	-	-	4.16	35	Araneae	Lycosidae	Pardosa	Pardosa_sp.	free-living
オオアシコモリグモ�	S43_S_763	2018.11.15-035	11	2	2	3.64	35	Araneae	Lycosidae	Pardosa	Pardosa_sp.	free-living
オオアシコモリグモ�	S43_S_131	2018.09.25-011	9	2	2	4.28	35	Araneae	Lycosidae	Pardosa	Pardosa_sp.	free-living
オオアシコモリグモ�	S43_S_183	2018.09.25-063	9	2	2	4.5	35	Araneae	Lycosidae	Pardosa	Pardosa_sp.	free-living
オオアシコモリグモ�	S43_S_708	2018.11.13-044	11	2	2	4.28	35	Araneae	Lycosidae	Pardosa	Pardosa_sp.	free-living
オオシロカネグモ	S45_S_538	2018.05.16-010	5	-	-	-	8	Araneae	Tetragnathidae	Leucauge	Leucauge_celebesiana	web-weaving
オオセンショウグモ�	S45_S_600	2018.05.17-016	5	-	-	-	46	Araneae	Mimetidae	Mimetus	Mimetus_sp.	web-weaving
オオセンショウグモ�	S45_S_103	2018.04.17-103	4	2	2	-	46	Araneae	Mimetidae	Mimetus	Mimetus_sp.	web-weaving
オナガグモ	S45_S_693	2018.05.17-109	5	-	-	-	61	Araneae	Theridiidae	Ariamnes	Ariamnes_cylindrogaster	web-weaving
オナガグモ	S45_S_763	2018.05.17-179	5	-	-	-	61	Araneae	Theridiidae	Ariamnes	Ariamnes_cylindrogaster	web-weaving
オナガグモ	S43_S_681	2018.11.13-017	11	0	3	13.6	61	Araneae	Theridiidae	Ariamnes	Ariamnes_cylindrogaster	web-weaving
カギヅメカラスゴミグモ	S43_S_096	2018.09.13-024	9	2	2	4.4	30	Araneae	Araneidae	Cyclosa	Cyclosa_atrata	web-weaving
カギヅメカラスゴミグモ	S44_S_022	2018.06.12-022	6	-	-	4.05	30	Araneae	Araneidae	Cyclosa	Cyclosa_atrata	web-weaving
カギヅメカラスゴミグモ	S44_S_018	2018.06.12-018	6	-	-	3.64	30	Araneae	Araneidae	Cyclosa	Cyclosa_atrata	web-weaving
カギヅメカラスゴミグモ	S45_S_650	2018.05.17-066	5	-	-	-	30	Araneae	Araneidae	Cyclosa	Cyclosa_atrata	web-weaving
カニグモ�	S45_S_066	2018.04.17-066	4	2	2	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_087	2018.04.17-087	4	2	2	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_187	2018.04.27-011	4	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_670	2018.08.20-070	8	-	-	3.1	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_080	2018.09.13-008	9	2	2	3.1	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_136	2018.09.25-016	9	2	2	2.96	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_255	2018.10.16-031	10	2	2	2.81	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_278	2018.10.16-054	10	2	2	3.36	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_315	2018.10.17-019	10	2	2	3.11	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_395	2018.10.17-099	10	2	2	3.13	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_407	2018.10.17-111	10	2	2	3.46	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_430	2018.10.19-006	10	2	2	3.13	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_463	2018.10.19-039	10	2	2	3.6	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_755	2018.11.15-027	11	2	2	3.66	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_075	2018.06.17-011	6	-	-	3.85	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_556	2018.07.27-020	7	-	-	2.84	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_172	2018.09.25-052	9	2	2	4.87	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_438	2018.10.19-014	10	2	2	4.15	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_536	2018.10.19-112	10	2	2	5.18	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_559	2018.10.19-135	10	2	2	4.44	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_563	2018.10.19-139	10	2	2	4	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_605	2018.11.12-021	11	2	2	4.26	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_613	2018.11.12-029	11	2	2	4.9	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_627	2018.11.12-043	11	2	2	3.81	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_656	2018.05.17-072	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_726	2018.08.21-046	8	-	-	2.6	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_556	2018.10.19-132	10	1	3	6.5	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_579	2018.10.19-155	10	2	2	6.03	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_378	2018.05.14-018	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_392	2018.05.14-032	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_441	2018.05.14-081	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_451	2018.05.14-091	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_484	2018.05.15-020	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_489	2018.05.15-025	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_395	2018.07.19-019	7	-	-	4.43	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_737	2018.08.22-009	8	-	-	2.88	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_533	2018.05.16-005	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_566	2018.10.19-142	10	2	2	3.9	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_603	2018.05.17-019	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_638	2018.05.17-054	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_644	2018.05.17-060	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_692	2018.05.17-108	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_730	2018.05.17-146	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_012	2018.06.12-012	6	-	-	2.39	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_131	2018.06.17-067	6	-	-	2.51	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_161	2018.06.19-025	6	-	-	2.55	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_172	2018.06.19-036	6	-	-	2.36	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_733	2018.11.15-005	11	0	4	6.31	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_223	2018.06.22-047	6	-	-	3.66	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_511	2018.07.20-063	7	-	-	3.5	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_547	2018.07.27-011	7	-	-	4.23	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_549	2018.07.27-013	7	-	-	4.28	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_579	2018.07.27-043	7	-	-	3.97	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_582	2018.07.27-046	7	-	-	3.36	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_594	2018.07.27-058	7	-	-	3.83	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_710	2018.08.21-030	8	-	-	3.74	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_611	2018.11.12-027	11	2	2	5.44	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_766	2018.08.22-038	8	-	-	4.59	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_124	2018.09.25-004	9	2	2	6.91	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_387	2018.07.19-011	7	-	-	2.82	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S44_S_493	2018.07.20-045	7	-	-	3.93	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_137	2018.04.17-137	4	2	2	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S43_S_455	2018.10.19-031	10	2	2	4.83	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
カニグモ�	S45_S_544	2018.05.16-016	5	-	-	-	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living
