Seq.No.	species	date	month	male	age	bodysize	No.	order	Family	genus	species.y	ecology	H_0007_Diptera_Empididae	H_0010_Diptera_Diptera	H_0013_Diptera_Diptera	H_0015_Diptera_Diptera	H_0023_Diptera_Diptera	H_0024_Diptera_Diptera	H_0031_Diptera_Diptera	H_0035_Hemiptera_Aphididae	H_0046_Collembola_Homidia	H_0047_Diptera_Diptera	H_0048_Hemiptera_Tropidocephala	H_0049_Coleoptera_Hypera	H_0051_Diptera_Diptera	H_0055_Diptera_Homoneura	H_0062_Diptera_Sarcophaga	H_0063_Diptera_Diptera	H_0065_Diptera_Chironomidae	H_0074_Diptera_Scaptomyza	H_0075_Hemiptera_Sitobion.avenae	H_0078_Diptera_Mayetiola	H_0089_Diptera_Bradysia	H_0092_Diptera_Rhopalomyia	H_0100_Hemiptera_Hemiptera	H_0101_Hymenoptera_Andrena	H_0104_Hymenoptera_Hymenoptera	H_0105_Diptera_Sciaridae	H_0106_Hemiptera_Rhopalosiphum.padi	H_0109_Diptera_Scaptomyza	H_0111_Diptera_Diptera	H_0116_Diptera_Atrichopogon	H_0117_Hemiptera_Aphididae	H_0124_Coleoptera_Chrysomelidae	H_0125_Hemiptera_Cicadellidae	H_0130_Diptera_Diptera	H_0131_Collembola_Collembola	H_0133_Hemiptera_Chaitophorus	H_0142_Diptera_Chironomus	H_0143_Diptera_Diptera	H_0148_Diptera_Diptera	H_0151_Lepidoptera_Lepidoptera	H_0152_Diptera_Diptera	H_0158_Hemiptera_Cicadellidae	H_0164_Diptera_Cecidomyiidae	H_0165_Diptera_Bradysia	H_0168_Coleoptera_Chrysomelidae	H_0172_Hemiptera_Hemiptera	H_0182_Diptera_Diptera	H_0184_Diptera_Melanostoma	H_0189_Diptera_Phoridae	H_0191_Coleoptera_Curculionidae	H_0192_Diptera_Melanagromyza	H_0194_Diptera_Sciaridae	H_0197_Diptera_Sciara	H_0198_Hemiptera_Triozidae	H_0200_Coleoptera_Cantharidae	H_0204_Diptera_Cecidomyiidae	H_0212_Diptera_Cecidomyiidae	H_0220_Hymenoptera_Hymenoptera	H_0222_Coleoptera_Coleoptera	H_0226_Hemiptera_Aphididae	H_0235_Diptera_Diptera	H_0238_Hemiptera_Hemiptera	H_0245_Diptera_Diptera	H_0247_Diptera_Cecidomyiidae	H_0251_Lepidoptera_Inurois	H_0256_Diptera_Minettia	H_0259_Diptera_Cecidomyiidae	H_0282_Diptera_Sciaridae	H_0293_Diptera_Ensina.sonchi	H_0299_Diptera_Bradysia	H_0306_Diptera_Diptera	H_0308_Diptera_Diptera	H_0321_Diptera_Bradysia	H_0325_Hemiptera_Hemiptera	H_0326_Diptera_Drosophilidae	H_0327_Diptera_Sciaridae	H_0331_Diptera_Mycetophilidae	H_0334_Diptera_Diptera	H_0336_Diptera_Bradysia	H_0341_Lepidoptera_Noctuidae	H_0343_Diptera_Empididae	H_0361_Hymenoptera_Braconidae	H_0364_Diptera_Diptera	H_0368_Diptera_Megaselia	H_0381_Diptera_Diptera	H_0398_Hemiptera_Aphididae	H_0403_Diptera_Cecidomyiidae	H_0408_Diptera_Diptera	H_0421_Diptera_Bradysia	H_0422_Diptera_Sciaridae	H_0438_Diptera_Dicranomyia	H_0448_Diptera_Boletina	H_0464_Diptera_Cecidomyiidae	H_0475_Diptera_Cecidomyiidae	H_0479_Hemiptera_Hyperomyzus.carduellinus	H_0490_Hymenoptera_Hymenoptera	H_0500_Diptera_Cecidomyiidae	H_0537_Hymenoptera_Xyela	H_0541_Diptera_Cecidomyiidae	H_0548_Diptera_Diptera	H_0550_Diptera_Cricotopus	H_0551_Diptera_Empididae	H_0566_Diptera_Megaselia	H_0580_Diptera_Diptera	H_0595_Diptera_Mycetophilidae	H_0610_Hymenoptera_Hymenoptera	H_0615_Diptera_Aprionus	H_0624_Diptera_Sciaridae	H_0631_Diptera_Sciaridae	H_0658_Diptera_Cecidomyiidae	H_0659_Diptera_Diptera	H_0668_Diptera_Chironomidae	H_0715_Hymenoptera_Eulophidae	H_0741_Diptera_Sciaridae	H_0779_Diptera_Sciaridae	H_0782_Diptera_Diptera	H_0797_Diptera_Cecidomyiidae	H_0798_Hymenoptera_Exallonyx	H_0832_Hymenoptera_Hymenoptera	H_0857_Diptera_Diptera	H_0861_Diptera_Cecidomyiidae	H_0879_Hemiptera_Delphacidae	H_0881_Hymenoptera_Hymenoptera	H_0882_Hymenoptera_Ichneumonidae	H_0900_Psocoptera_Peripsocidae	H_0903_Diptera_Rhamphomyia	H_0944_Diptera_Empididae	H_1059_Diptera_Bradysia	H_1061_Diptera_Cecidomyiidae	H_1105_Hymenoptera_Aphelinus	H_1153_Diptera_Sciaridae	H_1196_Hemiptera_Acyrthosiphon.pisum	H_1198_Hemiptera_Aphis	H_1202_Hemiptera_Aphididae	H_1205_Hemiptera_Aphididae	H_1221_Coleoptera_Anoplophora.glabripennis
S45_S_037	ハナグモ	2018.04.17-037	4	2	2	-	13	Araneae	Thomisidae	Ebrechtella	Ebrechtella_tricuspidata	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_039	ハエトリグモ科_sp.6	2018.04.17-039	4	2	2	-	54	Araneae	Salticidae	-	Salticidae_sp.6	free-living	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_042	トガリアシナガグモ	2018.04.17-042	4	2	2	-	6	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_caudicula	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_043	ササグモ	2018.04.17-043	4	2	2	-	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_048	トガリアシナガグモ	2018.04.17-048	4	2	2	-	6	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_caudicula	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_051	サツマノミダマシ	2018.04.17-051	4	2	2	-	24	Araneae	Araneidae	Neoscona	Neoscona_scylloides	web-weabing	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_052	コハナグモ	2018.04.17-052	4	2	2	-	12	Araneae	Thomisidae	Diaea	Diaea_subdola	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_056	ハナグモ	2018.04.17-056	4	2	2	-	13	Araneae	Thomisidae	Ebrechtella	Ebrechtella_tricuspidata	free-living	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
S45_S_062	トガリアシナガグモ	2018.04.17-062	4	2	2	-	6	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_caudicula	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_063	シロブチサラグモ	2018.04.17-063	4	0	4	-	38	Araneae	Linyphiidae	Neriene	Neriene_radiata	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_071	チュウガタシロカネグモ	2018.04.17-071	4	2	2	-	7	Araneae	Tetragnathidae	Leucauge	Leucauge_blanda	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_073	ヨツデゴミグモ	2018.04.17-073	4	2	2	-	21	Araneae	Araneidae	Cyclosa	Cyclosa_sedeculata	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_077	シロブチサラグモ	2018.04.17-077	4	0	3	-	38	Araneae	Linyphiidae	Neriene	Neriene_radiata	web-weabing	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_079	サツマノミダマシ	2018.04.17-079	4	2	2	-	24	Araneae	Araneidae	Neoscona	Neoscona_scylloides	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_083	ハナグモ	2018.04.17-083	4	2	2	-	13	Araneae	Thomisidae	Ebrechtella	Ebrechtella_tricuspidata	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_086	サツマノミダマシ	2018.04.17-086	4	2	2	-	24	Araneae	Araneidae	Neoscona	Neoscona_scylloides	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
